0000024-12-2006HEXAPOSTE COMPLET 38                                                    
01001 L ABERGEMENT CLEMENCIAT               01400 L ABERGEMENT CLEMENCIAT              
01002 L ABERGEMENT DE VAREY                 01640 L ABERGEMENT DE VAREY                
01003LAMAREINS                              01090 FRANCHELEINS                         
01004 AMBERIEU EN BUGEY                     01500*AMBERIEU EN BUGEY                    
01004CAMBERIEU EN BUGEY                     01501 AMBERIEU EN BUGEY CEDEX              
01004CAMBERIEU EN BUGEY                     01502 AMBERIEU EN BUGEY CEDEX              
01004CAMBERIEU EN BUGEY                     01503 AMBERIEU EN BUGEY CEDEX              
01004CAMBERIEU EN BUGEY                     01504 AMBERIEU EN BUGEY CEDEX              
01004CAMBERIEU EN BUGEY                     01505 AMBERIEU EN BUGEY CEDEX              
01004CAMBERIEU EN BUGEY                     01506 AMBERIEU EN BUGEY CEDEX              
01004CAMBERIEU EN BUGEY                     01507 AMBERIEU EN BUGEY CEDEX              
01004CAMBERIEU EN BUGEY                     01508 AMBERIEU EN BUGEY CEDEX              
01004CAMBERIEU EN BUGEY                     01509 AMBERIEU EN BUGEY CEDEX              
01005 AMBERIEUX EN DOMBES                   01330 AMBERIEUX EN DOMBES                  
01006 AMBLEON                               01300 AMBLEON                              
01007 AMBRONAY                              01500 AMBRONAY                             
01008 AMBUTRIX                              01500 AMBUTRIX                             
01009 ANDERT ET CONDON                      01300 ANDERT ET CONDON                     
01010 ANGLEFORT                             01350 ANGLEFORT                            
01011 APREMONT                              01100 APREMONT                             
01012 ARANC                                 01110 ARANC                                
01013 ARANDAS                               01230 ARANDAS                              
01014 ARBENT                                01100 ARBENT                               
01015 ARBIGNIEU                             01300 ARBIGNIEU                            
01016 ARBIGNY                               01190 ARBIGNY                              
01017 ARGIS                                 01230 ARGIS                                
01019 ARMIX                                 01510 ARMIX                                
01021 ARS SUR FORMANS                       01480 ARS SUR FORMANS                      
01022 ARTEMARE                              01510 ARTEMARE                             
01023 ASNIERES SUR SAONE                    01570 ASNIERES SUR SAONE                   
01024 ATTIGNAT                              01340 ATTIGNAT                             
01025 BAGE LA VILLE                         01380 BAGE LA VILLE                        
01026 BAGE LE CHATEL                        01380*BAGE LE CHATEL                       
01027 BALAN                                 01360 BALAN                                
01028 BANEINS                               01990 BANEINS                              
