code régime;caisse gestionnaire;centre gestionnaire;libellé;régime;organisme destinataire;code centre informatique;adresse 1;adresse 2;commune;code postal;cédex;téléphone;fax
03;001;4200;ADREA MUTUELLE PROFESSIONS INDEPENDANTES;Régime Social des Indépendants - RSI;003;002;130, Galerie de Chartreuse;BARBERAS;CHAMBERY;73000;;04.79.70.40.09;
03;007;5200;ADREA MUTUELLE PROFESSIONS INDEPENDANTES;Régime Social des Indépendants - RSI;025;002;11, rue Marcellin-Desboutin;BP 841;MOULINS;03008;CEDEX;04.70.34.10.10;04.70.34.10.14
03;001;4300;ADREA MUTUELLE PROFESSIONS INDEPENDANTES;Régime Social des Indépendants - RSI;201;002;31-33 Bd de la République;;VIENNE ;38200;;04.74.85.03.35;
03;009;5600;ADREA MUTUELLE PROFESSIONS INDEPENDANTES;Régime Social des Indépendants - RSI;035;001;bp 70288;;CHALON SUR SAONE ;71107;CEDEX;0.810.810.008;03.85.48.21.14
03;021;5400;ADREA MUTUELLE PROFESSIONS INDEPENDANTES;Régime Social des Indépendants - RSI;074;002;393, Rue de l'Hostellerie  ;Ville Active;NIMES ;30018;CEDEX 9;04.66.29.09.06;04.66.29.39.49
03;019;4200;ADREA MUTUELLE PROFESSIONS INDEPENDANTES;Régime Social des Indépendants - RSI;320;001;;;;;;;
03;031;4200;ADREA MUTUELLE PROFESSIONS INDEPENDANTES;Régime Social des Indépendants - RSI;324;001;;;;;;;
03;037;4200;ADREA MUTUELLE PROFESSIONS INDEPENDANTES;Régime Social des Indépendants - RSI;325;001;12 avenue du 6 juin;;CAEN;14028;CEDEX 09;02 31 15 30 15;02 31 15 30 33
03;043;2600;ADREA MUTUELLE PROFESSIONS INDEPENDANTES;Régime Social des Indépendants - RSI;237;002;;;;;;;
03;029;3400;ADREA MUTUELLE PROFESSIONS INDEPENDANTES;Régime Social des Indépendants - RSI;103;001;12, avenue du Six Juin;;CAEN;14028;CEDEX 4;02.31.15.30.30;02.31.15.30.29
03;045;4200;ADREA MUTUELLE PROFESSIONS INDEPENDANTES;Régime Social des Indépendants - RSI;146;002;31-33, boulevard de la République;;VIENNE ;38203;CEDEX ;04.74.85.03.35;
03;045;5100;ADREA MUTUELLE PROFESSIONS INDEPENDANTES;Régime Social des Indépendants - RSI;147;002;58, rue Bourgmayer;;BOURG EN BRESSE;01001;;04.74.32.37.00;
01;471;0000;AGEN;Régime Général;471;005;2, Rue Diderot;Place Armand Fallières;AGEN;47914;CEDEX 9;05 53 69 11 14;05 53 69 10 59
02;471;0000;AGEN;Régime Agricole;471;821;1. quai du Docteur-Calabet;;AGEN;47913;CEDEX;05.53.67.77.77;05.53.67.78.58
02;472;0000;AGEN;Régime Agricole;472;821;55, rue Camille Desmoulins;;AGEN;47031;CEDEX;05 53 48 24 56;
02;475;0000;AGEN;Régime Agricole;471;821;1. quai du Docteur-Calabet;;AGEN;47913;CEDEX;05.53.67.77.77;05.53.67.78.58
03;025;3100;AGIR;Régime Social des Indépendants - RSI;083;001;6-8,  Viaduc Kennedy;;NANCY ;54042;CEDEX ;03.83.90.60.60;
03;003;3100;AGIR-MUTUELLES ALSACE;Régime Social des Indépendants - RSI;009;001;83, avenue de la Forêt Noire;CS 70077;STRASBOURG;67016;CEDEX;03 88 45 91 60;03 88 45 91 70
03;019;2600;AGIR-MUTUELLES FRANCHE-COMTE;Régime Social des Indépendants - RSI;228;001;;;;;;;
03;025;5100;AGIR-MUTUELLES LORRAINE;Régime Social des Indépendants - RSI;084;001;50, place Mazelle;;METZ ;57045;CEDEX 1;03.87.37.36.36;
01;201;0000;AJACCIO;Régime Général;201;021;Boulevard Abbé Recco Les Paludes;BP 910;AJACCIO;20702;CEDEX 9;04 95 23 52 00;04 95 20 64 74
02;992;0000;AJACCIO;Régime Agricole;992;381;Résid. Laétitia Bonaparte;Avenue de la Grande Armée;AJACCIO;20000;;04 95 22 22 34;
02;201;0000;AJACCIO;Régime Agricole;201;381;Parc Cunéo-d'Ornano;B.P. 407 ;AJACCIO;20184;CEDEX;04.95.29.27.00 ;04.95.29.27.64
02;205;0000;AJACCIO;Régime Agricole;201;381;Parc Cunéo-d'Ornano;B.P. 407 ;AJACCIO;20184;CEDEX;04.95.29.27.00 ;04.95.29.27.64
02;811;0000;ALBI;Régime Agricole;811;821;14, rue de Ciron;;ALBI;81017;CEDEX 9;05 63 68 40 40;05 63 68 40 99
02;812;0000;ALBI;Régime Agricole;812;821;Résidence 'Les Impériales';30, avenue Albert Thomas;ALBI;81030;CEDEX 9;05 63 60 36 14;
