EffectiveDate;Name;Code;   Insurer;   RegisteredDesk;   Concentrator;   Noemie_Type;   CMUC;   CMUC_Procedure;   ACS;   NormeFichierAdherent;   Norme_Rejet_Ack;   Norme_Retours_infos
01/01/2000;BOURG EN BRESSE;NOECVT1;3456789;01011000;TPHRM;Noemie 1;True;Procédure A;True;408;929;686
01/01/2000;CPAM de l Aisne;NOECVT2;3456789;01021000;TPHRM;Noemie 1;True;Procédure A;True;408;931;686
01/01/2000;ST QUENTIN;NOECVT3;3456789;01022000;TPHRM;Noemie 1;True;Procédure A;True;408;932;686
01/01/2000;MOULINS;NOECVT4;3456789;01031000;TPHRM;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;DIGNE;NOECVT5;3456789;01041000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;GAP;NOECVT6;3456789;01051000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;NICE;NOECVT7;3456789;01061000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;ANNONAY;NOECVT8;3456789;01071000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CPAM de l Ardeche;NOECVT9;3456789;01072000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CHARLEVILLE MEZIERES;NOECVT10;3456789;01081000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;FOIX;NOECVT11;3456789;01091000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;TROYES;NOECVT12;3456789;01101000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CARCASSONNE;NOECVT13;3456789;01111000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;RODEZ;NOECVT14;3456789;01121000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;MARSEILLE;NOECVT15;3456789;01131000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CAEN;NOECVT16;3456789;01141000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;AURILLAC;NOECVT17;3456789;01151000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;ANGOULEME;NOECVT18;3456789;01161000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;LA ROCHELLE;NOECVT19;3456789;01171000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;BOURGES;NOECVT20;3456789;01181000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;TULLE;NOECVT21;3456789;01191000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;AJACCIO;NOECVT22;3456789;01201000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;BASTIA;NOECVT23;3456789;01202000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;DIJON;NOECVT24;3456789;01211000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;ST BRIEUC;NOECVT25;3456789;01221000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;GUERET;NOECVT26;3456789;01231000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;PERIGUEUX;NOECVT27;3456789;01241000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CPAM du Doubs;NOECVT28;3456789;01251000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;MONTBELIARD;NOECVT29;3456789;01252000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;VALENCE;NOECVT30;3456789;01261000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;EVREUX;NOECVT31;3456789;01271000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CHARTRES;NOECVT32;3456789;01281000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CPAM du Finistere;NOECVT33;3456789;01291000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;QUIMPER;NOECVT34;3456789;01292000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;NIMES;NOECVT35;3456789;01301000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;TOULOUSE;NOECVT36;3456789;01311000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;AUCH;NOECVT37;3456789;01321000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;BORDEAUX;NOECVT38;3456789;01331000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;BEZIERS;NOECVT39;3456789;01341000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CPAM de l Herault;NOECVT40;3456789;01342000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;RENNES;NOECVT41;3456789;01351000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CHATEAUROUX;NOECVT42;3456789;01361000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;TOURS;NOECVT43;3456789;01371000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CPAM de l Isere;NOECVT44;3456789;01381000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;VIENNE;NOECVT45;3456789;01382000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;LONS LE SAUNIER;NOECVT46;3456789;01391000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;MONT DE MARSAN;NOECVT47;3456789;01401000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;BLOIS;NOECVT48;3456789;01411000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;ROANNE;NOECVT49;3456789;01421000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CPAM de la Loire;NOECVT50;3456789;01422000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;LE PUY;NOECVT51;3456789;01431000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CPAM de Loire-Atlantique;NOECVT52;3456789;01441000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;ST NAZAIRE;NOECVT53;3456789;01442000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;ORLEANS;NOECVT54;3456789;01451000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CAHORS;NOECVT55;3456789;01461000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;AGEN;NOECVT56;3456789;01471000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;MENDE;NOECVT57;3456789;01481000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CPAM de Maine et Loire;NOECVT58;3456789;01491000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CHOLET;NOECVT59;3456789;01492000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;ST LO;NOECVT60;3456789;01501000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;REIMS;NOECVT61;3456789;01511000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CHAUMONT;NOECVT62;3456789;01521000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;LAVAL;NOECVT63;3456789;01531000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;LONGWY;NOECVT64;3456789;01541000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;CPAM de Meurthe et Moselle;NOECVT65;3456789;01542000;;Noemie 1;True;Procédure A;True;408;933;686
01/01/2000;BAR LE DUC;NOECVT66;3456789;01551000;;Noemie 1;True;Procédure A;True;408;933;686
