1;ALERGY IMMUNOLOGY
2;SURGERY-ORAL
3;ANESTHESIOLOGY
4;OPTICAL DISPENSARY
5;SURGERY-COLON/RECTAL
6;DERMATOLOGY
7;LITHOTRIPSY
8;OBSTETRIC
9;EMERGENCY MEDICINE
10;FAMILY PRACTICE
11;INTERNAL MEDICINE
12;CARDIOVASCULAR DISEASE
13;CRITICAL CARE
14;ENDOCRINOLOGY
15;GASTROENTEROLOGY
16;HEMATOLOGY
17;INFECTIOUS DISEASE
18;ONCOLOGY/RADIATION
19;NEPHROLOGY
20;PULMONARY DISEASE
21;RHEUMATOLOGY
22;SURGERY-NEUROLOGICAL
23;GYNECOLOGY
24;OB/GYN
25;ONCOLOGY-GYNECOLOGICAL
26;MATERNAL & FETAL MED
27;ENDOCRINOLOGY-REPRODUCTIVE
28;OPHTHAMOLOGY
29;SURGERY-ORTHOPAEDIC
30;OTOLARYNGOLOGY
31;PATHOLOGY
32;PHARMACY-COMMUNITY
33;PHARMACY-CHAIN
34;PHARMACY-HOSPITAL
35;PROSTHETICS/ORTHOTICS
36;PATHOLOGY-DERMA
37;PHARMACY-CLINIC
38;PHARMACY-NURSING HOME OR ECF
39;PHARMACY-DEPT. STORE
40;PHARMACY-GROCERY STORE
41;PHARMACY-OTHER
42;PEDIATRIC ALLERGY
43;PEDIATRICS
44;PEDIATRIC CARDIOLOGY
45;PEDIATRIC ENDOCRINOLOGY
46;LICENSED COUNSELOR
47;BARIATRICS (WEIGHT CONTROL)
49;PHYSICAL MEDICINE & REHAB
50;SURGERY-PLASTIC
51;NOT LICENSED
52;OCCUPATIONAL MED
53;PUBLIC HTH/PREV MED
54;PSYCHIATRY
55;NEUROLOGY
56;SOCIAL WORKER
57;RADIOLOGY
58;RADIOLOGY-DIAGNOSTIC
59;RADIOLOGY-THERAPEUTIC
60;RADIOLOGY-NUCLEAR
61;SURGERY-GENERAL
62;SURGERY-PEDIATRIC
63;SURGERY-GENERAL VASCULAR
64;SURGERY-THORACIC
65;UROLOGY
66;SUPPLY (MEDICAL/SURGICAL)
67;HEARING AID DEALER
68;REGISTERED SITTER
69;GENERAL PRACTICE
70;AMBULANCE/NON EMERG
71;AMBULANCE/EMERGENCY
72;PSYCHOLOGY
73;NURSE PRACTITIONER
74;NURSE MID-WIFE
75;NURSEANESTHETISTT (CRNA)
76;DIAGNOSTIC IMAGING
77;LABORATORY
78;SPEECH THERAPY
79;REHABILITATION
80;DENTIST-DMD
81;DENTIST-DDS
82;AUDIOLOGIST
84;OPTOMETRIST
85;CHIROPRACTOR
86;PODIATRY
87;PAIN MANAGEMENT
88;NEONATAL PERINATAL
89;PHYSICAL THERAPIST
90;PHARMACY
91;PHYSICAL THERAPY
92;EMERGENCY CLINIC
93;DURABLE MEDICAL EQUIP
94;NURSING AGENCY
95;ENTERNAL/PARENTAL NURSING
96;HOME INFUSION SERVICES
97;GERIATRICS
98;ADDICTIONOLOGY
99;OTHER
A1;PEDIATRIC NEPHROLOGY
A2;PEDIATRIC HEMATOLOGY/ONCOLOGY
A3;PEDIATRIC GASTROENTEROLOGY
A4;PEDIATRIC INFECTIOUS DISEASE
A5;CARDIOLOGY
A6;HEMATOLOGY/ONCOLOGY
A7;PEDIATRIC NEUROLOGY
A8;SURGERY CARDIO/THORACIC
A9;ONCOLOGY
B1;NEURO-OPTHAMOLOGY
B3;PULMONARY/CRITICAL CARE
B4;SURGERY GENERAL/THRACIC
B5;PEDIATRIC ORTHOPAEDIC SURGERY
B6;PEDIATRIC RHEUMATOLOGY
