DEBUTVALID;CODE_TIPS;NOM_COURT;TARIF;NAT_PREST;Famille
03/04/2004;1101803;ALIMENT SANS GLUTEN, PAIN, >OU= 150 G ET < 200 G;0,72;GLU;Autres Frais
08/09/2003;1101909;ALIMENT SANS GLUTEN, FARINE, 100 G;0,45;GLU;Autres Frais
01/04/2013;1300810;PANSEMENT ADHESIF STERILE, COMPRESSE ABSORBANTE,> OU =30CM2 & <40CM2, BOITE DE 5;1,96;PAN;Frais médicaux courants et pharmacie
01/09/2010;1301011;BANDES EXTENSIBLES TISSEES OU TRICOTEES, 2 M A L'ETIRAGE ET LARGEUR 0,05 M;0,23;PAN;Frais médicaux courants et pharmacie
11/08/2015;1301070;PANSEMENTS HYDROCELLULAIRES, 400 CM2, URGO, URGOSTART BORDER, B/16;244,4;PAN;Frais médicaux courants et pharmacie
01/10/2014;1301347;PANSEMENTS HYDROCELLULAIRES, >OU= 200 CM2 ET < 225 CM2, BOITE DE 10;50,14;PAN;Frais médicaux courants et pharmacie
01/09/2010;1301353;SPARADRAP NON ELASTIQUE, > OU = 1000CM2 & < 1250CM2;0,81;PAN;Frais médicaux courants et pharmacie
01/09/2010;1301850;PANSEMENT, FILET TUBULAIRE DE MAINTIEN, ROULEAU, > OU = 1,5M & < 20M;5,08;PAN;Frais médicaux courants et pharmacie
01/09/2010;1301985;SPARADRAP NON ELASTIQUE, > OU = 10000CM2;8,09;PAN;Frais médicaux courants et pharmacie
01/09/2010;1302476;COMPRESSES DE GAZE HYDROPHILE, NON STERILES, > OU = 100CM2, BOITE DE 50;3,27;PAN;Frais médicaux courants et pharmacie
18/03/2013;1302996;PANSEMENTS HYDROCELLULAIRES, 36 CM2, URGO, URGOSTART, B/16;25,5;PAN;Frais médicaux courants et pharmacie
01/01/2011;1303263;PANSEMENT/COMPRESSE STERILE, ABSORBANT, > OU = 200CM2 & < 300CM2, BOITE DE 10;9,49;PAN;Frais médicaux courants et pharmacie
08/09/2003;2200393;VERRE BLANC SIMPLE FOYER, <18 ANS, CYLINDRE <OU= +4,00, SPHERE DE -6,00 A +6,00;14,94;VER;Frais d optique et d audioprothèse
08/09/2003;2200795;SYSTEME ANTIPTOSIS, > OU = 18 ANS;77,29;VER;Frais d optique et d audioprothèse
08/09/2003;2202239;VERRE BLANC MULTIFOCAL OU PROGRESSIF, > OU = 18 ANS, SPHERE H.Z DE -8,00 A +8,00;24,54;VER;Frais d optique et d audioprothèse
08/09/2003;2202452;VERRE TEINTE MULTI FOCAL OU PROGRESSIF, < 18 ANS, SPHERE H.Z DE -4,00 A +4,00;43,3;VER;Frais d optique et d audioprothèse
08/09/2003;2203240;VERRE BLANC SIMPLE FOYER, > OU = 18 ANS, SPHERE DE -6,00 A +6,00;2,29;VER;Frais d optique et d audioprothèse
08/09/2003;2204066;VERRES ISEICONIQUES, < 18 ANS, SUR DEVIS;0;VER;Frais d optique et d audioprothèse
08/09/2003;2206800;VERRE TEINTE SIMPLE FOYER , < 18 ANS, CYLINDRE > +4,00, SPHERE H.Z -6,00 A +6,00;46,5;VER;Frais d optique et d audioprothèse
08/09/2003;2210546;MONTURE , < 18 ANS;30,49;LUN;Frais d optique et d audioprothèse
08/09/2003;2212976;VERRE BLANC SIMPLE FOYER, > OU = 18 ANS, CYLINDRE >+4,00,SPHERE DE -6,00 A +6,00;6,25;VER;Frais d optique et d audioprothèse
08/09/2003;2219381;VERRE TEINTE SIMPLE FOYER, < 18 ANS,CYLINDRE <OU= +4,00,SPHERE H.Z -6,00 A +6,00;36,28;VER;Frais d optique et d audioprothèse
08/09/2003;2222408;FILTRE CHROMATIQUE OU ULTRAVIOLET, < 18 ANS;9,15;VER;Frais d optique et d audioprothèse
08/09/2003;2223342;MONTURE , > OU = 18 ANS;2,84;LUN;Frais d optique et d audioprothèse
08/09/2003;2226412;VERRE TEINTE SIMPLE FOYER, >OU= 18 ANS,CYLINDRE < OU =+4,00,SPHERE -6,00 A +6,00;3,66;VER;Frais d optique et d audioprothèse
08/09/2003;2227038;VERRE BLANC MULTIFOCAL OU PROGRESSIF, > OU = 18 ANS, SPHERE DE  -8,00 A +8,00;10,37;VER;Frais d optique et d audioprothèse
08/09/2003;2227908;SUPPLEMENT POUR MONTURE DE LUNETTES A COQUE, < 6 ANS;42,69;LUN;Frais d optique et d audioprothèse
08/09/2003;2227920;PRISME SOUPLE, < 6 ANS;22,41;VER;Frais d optique et d audioprothèse
08/09/2003;2234239;VERRE BLANC MULTIFOCAL OU PROGRESSIF, < 18 ANS, SPHERE H.Z DE -8,00 A +8,00;66,62;VER;Frais d optique et d audioprothèse
08/09/2003;2235776;VERRE BLANC SIMPLE FOYER, > OU = 18 ANS, SPHERE H.Z DE -10,00 A +10,00;7,62;VER;Frais d optique et d audioprothèse
