DEBUTVALID;CODE_TIPS;NOM_COURT;TARIF;NAT_PREST;Famille
01/07/2015;1100028;SOLUTION A USAGE OPHTALMIQUE, SANTEN, CATIONORM, BOITE DE 30 UNIDOSES, 0,4 ML;4,69;AAD;
15/08/2011;1100034;SOLUTION POUR PULVERISATIONS ENDOBUCCALES, EISAI SAS, AEQUASYAL, 400 DOSES;12,56;AAD;
08/09/2003;1100070;PERFUSION, DIFFUSEUR, <24 H, SERINGUE 50 ML, BAXTER, SV 5, REF C 1073 K;32,01;MAD;
03/04/2004;1100086;ALIMENT SANS GLUTEN, BISCUITS, >OU= 250 G ET < 300 G;3,18;GLU;
01/06/2015;1100229;FRA-38, VENTILATION ASSISTEE, < 12 HEURES + OXYGENO OLT 1.31 INVACARE PLATINUM 9;93,39;AAR;
08/09/2003;1100287;PERFUSION, DIFFUSEUR, <24 H, SERINGUE 50 ML, ZAMBON, H.P ECLIPSE REF. 400.100;32,01;MAD;
01/11/2013;1100413;NUTRITION ENTERALE, ADULTE, MEL POLY NORMOPROT. NORMOENERG, 1 500 ML;9,84;AAD;
01/06/2015;1100614;FRA-94, VENTILATION ASSISTEE, > OU = 12 HEURES+OLT 2.16 SCALEO M. INOGEN ONE G2;125,02;AAR;
08/09/2003;1100620;DEBITMETRE DE POINTE, EC-MED SA, VITALOGRAPH LOW RANGE;22,87;MAD;
08/09/2003;1100666;PERFUSION, DIFFUSEUR, <24 H, SERINGUE 50 ML, FRESENIUS, ULTRAFLOW REF. 2876161;32,01;MAD;
01/09/2014;1100850;NUT. PARENTERALE 6 OU 7J/7, POMPE, PREST. HEBDO., APRES DOUZE PREMIERES SEM.;70;AAD;
01/09/2013;1101230;COLOSTOMIE, SYSTEME POUR IRRIGATION, 50 MANCHONS;49,4;MAD;
01/11/2013;1101306;NUT ORALE, ADULTE, MEL POLY HYPERPROT. NORMOENERG, >OU= 200 ET <OU= 250, B/3;5,73;MAD;
08/09/2003;1101312;PERFUSION, PIED A SERUM, FORFAIT DE LIVRAISON A DOMICILE;12,96;AAD;
08/09/2003;1101559;APPAREIL DE REEDUCATION PAR POULIE-THERAPIE, LOCATION HEBDOMADAIRE D'UN ENSEMBLE;8,84;AAD;
01/09/2013;1101565;COLOSTOMIE, SYSTEME POUR IRRIGATION, 30 MANCHONS;29,64;MAD;
01/06/2014;1101720;AUTOCONTROLE, APPAREIL POUR LECTURE AUTOMATIQUE CHIFFREE DE LA GLYCEMIE;51,04;MAD;
01/11/2013;1101795;NUT. ORALE, HYDROLYSAT PROT+TCM, ENFANT, POUDRE, 13 RATIONS DE 200 ML;11,58;MAD;
03/04/2004;1101803;ALIMENT SANS GLUTEN, PAIN, >OU= 150 G ET < 200 G;0,72;GLU;
01/06/2014;1101826;AUTOCONTROLE, 100 LANCETTES POUR AUTOPIQUEUR NON REUTILISABLES STERILES;7,14;MAD;
08/09/2003;1101909;ALIMENT SANS GLUTEN, FARINE, 100 G;0,45;GLU;
12/03/2015;1101950;FRA-12, VENTILATION ASSISTEE, TRACHEOTOMISES + OXYGENO OCT 3.00 COURT TERME;161,63;AAR;
28/06/2004;1101980;PERFUSION, DIFFUSEUR, <24 H, SERINGUE 50 ML, NORMED NM, ACCUFUSER C 1000 M;32,01;MAD;
01/09/2013;1102300;INCONTINENCE, PARTIE SUPERIEURE D'UN URINAL EN CAOUTCHOUC;34,16;MAD;
08/09/2003;1102375;ASPIRATEUR TRACHEAL, FORFAIT DE LIVRAISON A DOMICILE;17,68;AAR;
01/06/2015;1102464;FRA-97,TRACHEOTOMIE SANS VENTILATION+OXYGENO OLT 2.16 SCALEO M. INOGEN ONE G2;110,26;AAR;
03/04/2004;1102777;ALIMENT SANS GLUTEN, PAIN, >OU= 350 G ET < 400 G;1,68;GLU;
08/09/2003;1102895;PERFUSION, DIFFUSEUR, = OU >72 H, SERINGUE 50 ML, B BRAUN, EASYPUMP LT 65.120;49,55;MAD;
01/06/2015;1103015;FRA-106, HYPERINSUFFLA OU IN-EXSUFFLATIONS + OLT 2.18 CHART SEQUAL ECLIPSE 3;79,11;AAR;
01/06/2015;1103156;FRA-47, PPC, APNEE SOM, 9.4 + OXYGENO OLT 2.12 ULTRAFILL;85,51;AAR;
01/09/2013;1103564;INCONTINENCE, STOMIE URINAIRE, 60 RACCORDS POUR POCHE D'UROSTOMIE;107,16;MAD;
08/09/2003;1103587;COLLECTEUR, URINES ET MATIERES FECALES, ANNEAU DE GOMME DE RECHANGE;0,54;MAD;
01/06/2015;1103720;FRA-44, VENTILATION ASSISTEE, < 12 HEURES + OXYGENO OLT 2.12 PHILIPS ULTRAFILL;108,39;AAR;
01/09/2013;1103819;INCONTINENCE, STOMIE URINAIRE, RACCORD POUR POCHE D'UROSTOMIE;1,79;MAD;
01/11/2013;1104262;NUTRITION ORALE, ADULTE, PROTEINES SEULES, >OU= 200 ET <OU= 250, B/1;9,66;MAD;
01/11/2013;1104612;NUT ORALE, ADULTE, MEL POLY HYPERPROT. HYPERENERG, >OU= 300 ET <OU= 350, B/1;3,46;MAD;
05/03/2012;1104658;SOLUTION VISCOELASTIQUE, ACIDE HYALURONIQUE, SMITH & NEPHEW, DUROLANE;100;MAD;
06/06/2005;1104776;RESINES POLYMERISABLES, SURFACE > OU = 3600CM2 ET < 4500CM2;5,4;MAC;
01/11/2013;1105008;NUT. ENTERALE, HYDROLYSAT PROT+TCM, ENFANT, POUDRE, 17 RATIONS DE 200 ML;15,47;AAD;
01/09/2013;1105043;DIGESTIF, COLLECTEUR MATIERES FECALES, 50 POCHES + ANNEAU + FILTRE + CLAMP;113,53;MAD;
01/06/2015;1105184;FRA-63, HYPERINSUFFLATIONS OU IN-EXSUFFLATIONS + OXYG OLT 2.15 PHILIPS SIMPLYGO;79,11;AAR;
01/11/2013;1105215;NUTRITION ORALE, MEL POLY HYPERPROT. HYPERENERG., <UN AN, 500 ML;4,07;MAD;
08/09/2003;1105391;DEBITMETRE DE POINTE, EOLYS, EOLYS BAS DEBIT;22,87;MAD;
07/08/2014;1105570;PHOTOTHERAPIE,LUNETTES OU MASQUE DE PROTECTION,<OU= 13 ANS, FILTRANT(INDICE 4).;35;MAD;
08/09/2003;1105646;PERFUSION, DIFFUSEUR, = OU >72 H, SERINGUE 50 ML, NORMED NM, ACCUFUSER C0010L;49,55;MAD;
08/09/2003;1105712;TIRE-LAIT ELECTRIQUE REGLABLE A DEPRESSION, LOCATION HEBDOMADAIRE;12,07;AAD;
06/12/2003;1105764;PERFUSION, DIFFUSEUR, <24 H, SERINGUE 50 ML, AGUETTANT, SUREFUSER SFS-62,5-25;32,01;MAD;
01/09/2013;1105965;COLLECTEUR, URINES ET MATIERES FECALES, CLAMP;0,83;MAD;
08/09/2003;1105971;PERFUSION, DIFFUSEUR, = OU >24 H ET <72 H, SERINGUE 50 ML, AGUETTANT, SFS 0502 D;40,09;MAD;
08/09/2003;1106485;ASPIRATEUR TRACHEAL, LOCATION HEBDOMADAIRE > 65 SEMAINES;15,27;AAR;
01/09/2013;1106516;INCONTINENCE MASCULINE, JOINT INERTE;0,86;MAD;
01/09/2013;1106539;DIGESTIF, COLLECTEUR MATIERES FECALES, 30 POCHES + JOINT, FILTRE, CLAMP,VIDABLES;79,23;MAD;
01/09/2013;1106700;UROSTOMIE, COLLECTEUR DES URINES, POCHE STERILE + ANNEAU;2,26;MAD;
01/11/2013;1106976;NUTRITION ENTERALE, MEL POLY HYPERPROT. HYPERENERG., UN AN A 3 ANS, 200 ML;2,1;AAD;
01/06/2015;1107042;FRA-121, VENTILATION ASSISTEE, TRACHEOTOMISES + OLT 2.19 SCALEO M. INOGEN ONE G3;180,47;AAR;
08/09/2003;1107059;PERFUSION, DIFFUSEUR, <24 H, SERINGUE 50 ML, B BRAUN MEDICAL, EASYPUMP ST400.4;32,01;MAD;
06/12/2003;1107450;PERFUSION, DIFFUSEUR, = OU >72 H, SERINGUE 50 ML, ASEPT INMED, 200665;49,55;MAD;
01/11/2013;1107504;NUT ORALE, ADULTE, MEL POLY HYPERPROT. NORMOENERG, >OU= 100 ET <OU= 150, B/8;11,41;MAD;
01/06/2015;1107579;FRA-16, VENTILATION ASSISTEE, < 12 HEURES + OXYGENO OLT 1.00 POSTE FIXE;84,46;AAR;
08/09/2003;1107674;PERFUSION, DIFFUSEUR, = OU >24 H ET <72 H, SERINGUE 50 ML, ZAMBON, H.P H 270.1;40,09;MAD;
01/06/2015;1107763;FRA-43, VENTILATION ASSISTEE, > OU = 12 HEURES + OXYG OLT 2.12 PHILIPS ULTRAFILL;125,02;AAR;
01/09/2013;1107770;INCONTINENCE, STOMIE URINAIRE, 10 RACCORDS POUR POCHE D'UROSTOMIE;17,86;MAD;
01/06/2015;1107800;FRA-46, TRACHEOTOMIE SANS VENTILATION + OXYGENO OLT 2.12 PHILIPS ULTRAFILL;110,26;AAR;
08/09/2003;1107993;PERFUSION, DIFFUSEUR, <24 H, SERINGUE 50 ML, NISSHO, SUREFUSER REF. 04N1001H;32,01;MAD;
01/11/2013;1108142;NUTRITION ENTERALE, MEL POLY NORMOPROT. NORMOENERG., >3 ANS, 500 ML;4,26;AAD;
20/02/2014;1108202;DISPOSITIF ASSISTANCE CIRCULAT, LOC MAINTENANCE, MENSUEL, THORATEC, HEARTMATE II;598;AAD;
01/11/2013;1108320;NUTRITION ENTERALE, ADULTE, MEL POLY NORMOPROT. HYPOENERG, 1 000 ML;6,29;AAD;
17/12/2014;1108350;AUTOCONTROLE SUCRE DANS LE SANG, KIT AUTOSURV GLYCEMIE, ROCHE, ACCU-CHEK-MOBILE;107,55;MAD;
01/09/2013;1108410;DIGESTIF,COLLECTEUR MATIERES FECALES,30 POCHES AVEC SUPPORT + FILTRE,NON VIDABLE;70;MAD;
01/09/2013;1108515;DIGESTIF, COLLECTEUR MATIERES FECALES, 50 POCHES + JOINT, FILTRE, NON VIDABLE;90,73;MAD;
01/06/2015;1108917;FRA-122, VENTILATION ASSISTEE, > OU = 12 HEURES+OLT 2.19 SCALEO M. INOGEN ONE G3;125,02;AAR;
