Bureau RÈgional MSC;Nom RR;Suite Adresse postale;CP Adresse Postale;Adresse Postale;Ville Adresse Postale;N° Contrat DAB;N° Contrat RC GÈnÈrale:
BORDEAUX;GUILBERT;B.P.1001;24001;38, Avenue Georges Pompidou;PERIGUEUX Cedex;;2o85oo1oo425 Q
BORDEAUX;GUILBERT;;33000;121 - 123, rue Quintin;BORDEAUX;;2o85oo1oo425 Q
BORDEAUX;GUILBERT;;40100;102, Avenue Francis PLANTE;DAX;;2o85oo1oo425 Q
BORDEAUX;GUILBERT;BP : 114;47004;43, Boulevard Edouard Lacour;AGEN Cedex;;2o85oo1oo425 Q
BORDEAUX;GUILBERT;BP 747;64107;9, rue Daniel Argote;BAYONNE Cedex;;2o85oo1oo425 Q
BORDEAUX;GUILBERT;BP 902;64050;3, rue des Trois Frères Bernadac;PAU Cedex 9;;2o85oo1oo425 Q
CAEN;de TOURNEMIRE;B.P. 322;14015;57, avenue de la LibÈration;CAEN Cedex;;2o85oo1oo425 Q
CAEN;de TOURNEMIRE;B.P. 317;50203;35, rue de l'Ecluse Chette;COUTANCES Cedex;;2o85oo1oo425 Q
CAEN;de TOURNEMIRE;B.P. 0131;53001;6, rue du Dr Ferron;LAVAL Cedex;;2o85oo1oo425 Q
CAEN;de TOURNEMIRE;B.P. 35;61001;42, boulevard de la RÈpublique;ALENCON Cedex;;2o85oo1oo425 Q
CAEN;de TOURNEMIRE;;72370;;LE BREIL sur MERIZE;;2o85oo1oo425 Q
CAEN;de TOURNEMIRE;BP. 29047;72009;32, rue de la Mission;LE MANS Cedex;2,09E+11;2o85oo1oo425 Q
LILLE;DEBLONDE;;59042;39, Rue de la Monnaie;LILLE;;2o85oo1oo425 Q
LILLE;DEBLONDE;B.P. 103;59402;18, rue du Petit SÈminaire;CAMBRAI Cedex;;2o85oo1oo425 Q
LILLE;DEBLONDE;B.P. 286;62005;14 bis, rue Noël Trannin;ARRAS Cedex;;2o85oo1oo425 Q
LILLE;DEBLONDE;B.P. 0822;80008;3, rue Jules Lardière;AMIENS Cedex;;2o85oo1oo425 Q
LYON;GRANSART;B.P.44;1002;6, Rue Brillat - Savarin;BOURG EN BRESSE Cedex;;2o85oo1oo425 Q
LYON;GRANSART;;21000;9 ter, boulevard Voltaire;DIJON;;2o85oo1oo425 Q
LYON;GRANSART;B.P. 413;25018;14, rue d'Alsace;BESANCON Cedex;;2o85oo1oo425 Q
LYON;GRANSART;B.P.189;39005;105, rue Marcel Paul;LONS LE SAUNIER;;2o85oo1oo425 Q
LYON;GRANSART;B.P. 579;71323;4, rue des Halles;CHALON SUR SAONE Cedex;;2o85oo1oo425 Q
LYON;GRANSART;B.P. 15;90001;10, rue Michelet;BELFORT Cedex;;2o85oo1oo425 Q
LYON;MONNOYEUR;;3000;87, Rue de Bourgogne;MOULINS;;2o85oo1oo425 Q
LYON;MONNOYEUR;B.P. 113;42003;50 rue Balay;SAINT ETIENNE Cedex 1;;2o85oo1oo425 Q
LYON;MONNOYEUR;B.P. 57;43002;18, rue du GÈnÈral La Fayette;LE PUY Cedex;;2o85oo1oo425 Q
LYON;MONNOYEUR;B.P. 231;63007;13, rue Louis Braille;CLERMONT - FERRAND Cedex 01;;2o85oo1oo425 Q
LYON;MONNOYEUR;;69003;12, rue de Montbrillant;LYON;;2o85oo1oo425 Q
LYON;MUREAU;B.P. 331;26003;7, rue du Parc;VALENCE Cedex;;2o85oo1oo425 Q
LYON;MUREAU;B.P. 436;38018;10, rue Sergent - Bobillot;GRENOBLE Cedex 1;;2o85oo1oo425 Q
LYON;MUREAU;;38200;31, quai Jean - Jaurès;VIENNE;;2o85oo1oo425 Q
LYON;MUREAU;B.P. 803;73008;16, avenue du Comte - Vert;CHAMBERY Cedex;;2o85oo1oo425 Q
LYON;MUREAU;;74000;2 bis, rue GÈnÈral FerriÈ;ANNECY;;2o85oo1oo425 Q
LYON;MUREAU;B.P.115;7101;Rue Vincent - d'Indy;ANNONAY Cedex;2,09E+11;2o85oo1oo425 Q
MARSEILLE;RODRIGUEZ;;13009;10 - 12, Boulevard BarthÈlÈmy;MARSEILLE;;2o85oo1oo425 Q
MARSEILLE;RODRIGUEZ;ENCAGNANE;13090;2, boulevard MarÈchal Leclerc;AIX EN PROVENCE;;2o85oo1oo425 Q
MARSEILLE;RODRIGUEZ;B.P. 1071;34007;28, rue Fargès;MONTPELLIER Cedex 1;;2o85oo1oo425 Q
MARSEILLE;RODRIGUEZ;;30000;1, rue Cardinal de Cabrière;NIMES;2,09E+11;2o85oo1oo425 Q
MARSEILLE;VOITURIEZ;;5000;4 C Impasse de Bonne;GAP;;2o85oo1oo425 Q
MARSEILLE;VOITURIEZ;B.P.152;6003;14 Avenue Durante;NICE Cedex 1;;2o85oo1oo425 Q
MARSEILLE;VOITURIEZ;;20000;6, cours Danielle Casanova;AJACCIO;;2o85oo1oo425 Q
MARSEILLE;VOITURIEZ;B.P. 309;84021;86, rue du Portail Magnanen;AVIGNON Cedex 1;;2o85oo1oo425 Q
MARSEILLE;VOITURIEZ;rue Henri Vienne;83000;LE PRADO;TOULON;2,09E+11;2o85oo1oo425 Q
NANCY;MARTINEAU;;54000;4, rue Mgr Thouvenin;NANCY;;2o85oo1oo425 Q
NANCY;MARTINEAU;B.P. 113;55103;41, rue des Minimes;VERDUN Cedex;;2o85oo1oo425 Q
NANCY;MARTINEAU;BP  : 4083;57040;26 bis, Rue de la Chèvre;METZ Cedex 1;;2o85oo1oo425 Q
NANCY;MARTINEAU;;67082;5, Rue Saint Leon;STRASBOURG Cedex;;2o85oo1oo425 Q
NANCY;MARTINEAU;B.P:710;88914;16, rue Amand Colle;EPINAL Cedex;2,09E+11;2o85oo1oo425 Q
NANCY;MARTINEAU;B.P. 155;52005;8, rue du 21ème - RIC;CHAUMONT Cedex;2,09E+11;2o85oo1oo425 Q
NANTES;BAILLY;;44041;1, rue Lorette de la Refoulais;NANTES Cedex 01;;2o85oo1oo425 Q
NANTES;BAILLY;B.P. 587;85015;22, rue Henri Aucher;LA ROCHE SUR YON Cedex;;2o85oo1oo425 Q
NANTES;BAILLY;;49510;La Gautrèche;LA JUBAUDIERE;;2o85oo1oo425 Q
NANTES;BAILLY;B.P. 1361;49013;5, rue Delage;ANGERS Cedex 01;2,09E+11;2o85oo1oo425 Q
PARIS;BIBICHE;B.P.174;2205;34 Rue du Paradis;SOISSONS Cedex;;2o85oo1oo425 Q
PARIS;BIBICHE;B.P.437;8107;21 Rue de Clèves;CHARLEVILLE - MEZIERES Cedex;;2o85oo1oo425 Q
PARIS;BIBICHE;B.P. 160;51008;87, rue des Martyrs de la RÈsistance;CHALONS EN CHAMPAGNE Cedex;;2o85oo1oo425 Q
PARIS;BIBICHE;B.P. 1394;51064;20, rue des Poissonniers;REIMS Cedex;;2o85oo1oo425 Q
PARIS;BIBICHE;B.P. 524;58005;22, rue de la CathÈdrale;NEVERS Cedex;;2o85oo1oo425 Q
PARIS;BIBICHE;B.P. 93;77104;26, avenue de la RÈpublique;MEAUX Cedex;;2o85oo1oo425 Q
PARIS;BIBICHE;129, rue du Pont Blanc;93300;CITE SECOURS CATHOLIQUE;AUBERVILLIERS;;2o85oo1oo425 Q
PARIS;BIBICHE;;93100;2, rue de l'Aqueduc;MONTREUIL;;2o85oo1oo425 Q
PARIS;BIBICHE;;75004;4, rue de l'Arsenal;PARIS;;2o85oo1oo425 Q
PARIS;BIBICHE;B.P. 935;89009;27, place Corot;AUXERRE Cedex;2,09E+11;2o85oo1oo425 Q
PARIS;BIBICHE;;94000;237, Avenue GÈnÈral Leclerc;CRETEIL;2,09E+11;2o85oo1oo425 Q
PARIS;BIBICHE;;93110;33, rue Paul CavarÈ;ROSNY SOUS BOIS;2,09E+11;2o85oo1oo425 Q
PARIS;BIBICHE;;93110;33 , rue Paul Cavare;ROSNY SOUS BOIS;2,09E+11;208500100424 Q
PARIS;BIBICHE;B.P.239;10007;1, rue des Chats;TROYES Cedex;2,09E+11;2o85oo1oo425 Q
PARIS;CONNAN;B.P. 334;27003;18, rue du Docteur Guindey;EVREUX Cedex;;2o85oo1oo425 Q
PARIS;CONNAN;B.P. 1172;76176;13, rue d'Elbeuf;ROUEN Cedex;;2o85oo1oo425 Q
PARIS;CONNAN;B.P. 636;76059;54, rue Michelet;LE HAVRE Cedex;;2o85oo1oo425 Q
PARIS;CONNAN;24 ter, rue du Mal Joffre -  R.P. : 3542;78035;Centre FrÈdÈric Ozanam;VERSAILLES Cedex;;2o85oo1oo425 Q
PARIS;CONNAN;;75007;8, rue de la Comète;PARIS;;2o85oo1oo425 Q
PARIS;CONNAN;;75018;17, Bd NEY;PARIS;;2o85oo1oo425 Q
PARIS;CONNAN;;75007;6, rue de la Comète;PARIS;;2o85oo1oo425 Q
PARIS;CONNAN;;75017;4, rue Daubigny;PARIS;2,09E+11;2o85oo1oo425 Q
PARIS;CONNAN;B.P. 827;60208;40, rue Notre - Dame de Bon-Secours;COMPIEGNE Cedex;2,09E+11;2o85oo1oo425 Q
PARIS;CONNAN;;92600;34, rue Steffen;ASNIERES;2,09E+11;2o85oo1oo425 Q
PARIS;CONNAN;B.P. 113;95316;;CERGY PONTOISE Cedex;2,09E+11;2o85oo1oo425 Q
PARIS;GAULIER;;18000;2, avenue du GÈnÈral de Gaulle;BOURGES;;2o85oo1oo425 Q
PARIS;GAULIER;B.P. 317;28006;3, rue du Pont-du-Massacre;CHARTRES Cedex;;2o85oo1oo425 Q
PARIS;GAULIER;;36000;3, rue Combanaire;CHATEAUROUX;;2o85oo1oo425 Q
PARIS;GAULIER;B.P. 2515;37025;35, rue de la Fuye;TOURS Cedex;;2o85oo1oo425 Q
PARIS;GAULIER;B.P. 775;41007;;BLOIS Cedex;;2o85oo1oo425 Q
PARIS;GAULIER;B.P. 629;45016;48, rue des Murlins;ORLEANS Cedex 1;;2o85oo1oo425 Q
PARIS;GAULIER;;91006;B.P. 192;EVRY Cedex;;2o85oo1oo425 Q
PARIS;GAULIER;BP 210;91580;Domaine de la Briche;SOUZY LA BRICHE;;2o85oo1oo425 Q
PARIS;GAULIER;;92170;16, av. du GÈnÈral de Gaulle;VANVES;;2o85oo1oo425 Q
PARIS;GAULIER;;18230;Chemin des Bougnoux;SAINT DOULCHARD;;2o85oo1oo425 Q
PARIS;LESIOUR;23, Bd de la Commanderie;75019;CITE ENTRAIDE DEMANDEURS REFUGIES EMIGRES;PARIS;;2o85oo1oo425 Q
PARIS;LESIOUR;;75007;106, rue du Bac;PARIS;2o85oo1oo338;2o85oo1oo425 Q
POITIERS;BAUDOUIN;B.P. 1203;16006;40, rue du Lieutenant Archambault;ANGOULEME Cedex;;2o85oo1oo425 Q
POITIERS;BAUDOUIN;B.P. 67;17003;;LA ROCHELLE Cedex;;2o85oo1oo425 Q
POITIERS;BAUDOUIN;B.P. 9;19101;16, rue Jean - Fieyre;BRIVE LA GAILLARDE Cedex;;2o85oo1oo425 Q
POITIERS;BAUDOUIN;;79000;47, Av de St Jean d'Angely;NIORT;;2o85oo1oo425 Q
POITIERS;BAUDOUIN;B.P. 462;86012;Impasse de la TrinitÈ;POITIERS Cedex;;2o85oo1oo425 Q
POITIERS;BAUDOUIN;B.P. 253;87007;8, rue des Allois;LIMOGES Cedex;2,09E+11;2o85oo1oo425 Q
POITIERS;BAUDOUIN;B.P. 306;23006;36, rue du Prat;GUERET;2,09E+11;2o85oo1oo425 Q
RENNES;DEFRANOUX;B.P. 1246;29102;33, rue de Douarnenez;QUIMPER Cedex;;2o85oo1oo425 Q
RENNES;DEFRANOUX;B.P. 1323;35013;10, rue Louis Guilloux;RENNES Cedex;;2o85oo1oo425 Q
RENNES;DEFRANOUX;;22005;88, rue de la Corderie;SAINT BRIEUC;2,09E+11;2o85oo1oo425 Q
TOULOUSE;GUERINEAU;B.P.49;9102;10 rue Jean Durroux;PAMIERS Cedex;;2o85oo1oo425 Q
TOULOUSE;GUERINEAU;B.P. 264;11005;45 bis, rue du 24 - FÈvrier;CARCASSONNE Cedex;;2o85oo1oo425 Q
TOULOUSE;GUERINEAU;B.P. 431;15004;93, avenue de la RÈpublique;AURILLAC Cedex;;2o85oo1oo425 Q
TOULOUSE;GUERINEAU;;31000;3, rue de la Madeleine;TOULOUSE;;2o85oo1oo425 Q
TOULOUSE;GUERINEAU;B.P. 6;32001;2, Rue du Tapis Vert;AUCH Cedex;;2o85oo1oo425 Q
TOULOUSE;GUERINEAU;;48000;7, Rue Mgr de LigonnÈs;MENDE;;2o85oo1oo425 Q
TOULOUSE;GUERINEAU;B.P. 924;65009;1, rue de la Sède;TARBES Cedex;;2o85oo1oo425 Q
TOULOUSE;GUERINEAU;;66000;55, boulevard FÈlix - Mercader;PERPIGNAN;;2o85oo1oo425 Q
