occupancy_code;name;rating_group
10;Inspection Contracts;A1
20;Farms, NOC;D
21;Greenhouses;D
22;Agricultural/Agrochemical Distribution Centers;D
23;Hatcheries & Poultry Farms;D
24;Irrigation/Agriculture;D
30;Breweries/Wineries/Distilleries;D
41;Glass Product Mfg.;J
42;Terra Cotta, Pottery, Ceramic Tile Mfg.;H
58;Synthetic Rubber Plants;G
63;Research & Development Laboratories;A2
70;Clay, Concrete, Brick, Plaster Products;J
81;Private Cold Storage, Food;D
82;Private Cold Storage, Not Food;D
83;Public Cold Storage, All;D
89;Ice Plants;D
90;Broadcasting, Radio & Television;A1
100;Computer Services, NOC;A1
101;Data Processing Operations;A1
102;Computer Software Developers;A2
131;Milk Products & Dairies;D
132;Packing Houses, Meat;D
134;Beverage and Bottling Plants;D
135;Frozen Food Processing;D
138;Food Processing/Storage w/Refrigeration;D
139;Candy Mfg.;D
140;Food Processing/Storage w/o Refrigeration;D
141;Cereal Processing;D
142;Bakeries;D
143;Rendering Plants;D
148;Coffee Processing;D
149;Food Canning & Packaging, NOC;D
160;Auto & Farm Implements Mfg.;J
161;Aircraft/Aerospace Mfg.;J
162;Ship Building;J
163;Boiler & Pressure Vessel Mfg.;J
164;Electrical Machinery Mfg.;J
171;Photofinishing;A1
172;Electroplating;J
173;Machine Shops;E
174;Electronic/Electrical Equipment Mfg.;E
175;Jewelry, Enamelware & Flatware Mfg.;E
176;Hardware Mfg.;E
177;Metal Can & Container Mfg.;E
178;General Light Mfg., Metals, NOC;E
179;General Light Mfg., Non-Metal;H
180;Appliance Mfg., Household/Commercial/Industrial;E
181;Furniture Manufacturing;H
182;Linoleum Works;G
183;Plastic Product Mfg. (Incl. Molding/Extrusion);G
184;Natural Abrasives;H
185;Boots, Shoe & Leather Goods Mfg.;H
186;Tobacco Products Mfg. (Cigarette & Cigar Mfg.);H
187;Solid Waste Recycling;I
188;Liquid Waste Recycling;I
189;Brass, Copper, Bronze Products Mfg.;J
190;Grain Elevator;D
191;Grinding & Milling Plant (Food, Grain, Flour);D
200;Hospitals;C2
201;Radiological & Diagnostic Services;C2
202;Nursing/Convalescent Home;C1
203;Clinics;C1
204;Dentists;C1
205;Doctors;C1
206;Health Services NOC;C1
207;Shelters, Men's/Women's;A1
210;Laundries & Dry Cleaning;A1
211;Laundromats, Self Service;A1
220;Logging and Lumber, NOC;J
221;Sawing/Planing/Finishing';J
229;Wood Trating/Creosoting Plants;J
230;Rolling Mill, Metal;J
231;Wire Mills Mfg.;J
240;Steel Mills-No Sintering;J
241;Sintering Plants-Separate;J
242;Forge Shops;J
243;Scrap Metal Plants;J
244;Foundries;J
245;Smelting Plants, No Aluminum;J
246;Aluminum Smelting Plants;J
247;Aluminum Products Mfg.;J
249;Steel and Iron, NOC;J
251;Cement Mill;J
252;Lime/Sand/Gravel Works/Pit;J
253;Mining NOC;J
254;Gold Mining;J
255;Ore Refining;J
256;Gypsum Mill;J
257;Coal Mining;J
260;Industrial Building Owners;A1
261;Office Buildings (Owners);A1
262;Strip Shopping Centers;A1
263;Banks;A1
264;Mall Shopping Centers;A1
265;Car Washes;A1
266;Garages & Service Stations;A1
267;Stores w/Refrigerated Food;A2
268;Warehouses (Not Refrigerated);A1
269;Stores, Retail & Wholesale (Not Food);A1
270;Auto, Truck, Vehicle Sales;A1
281;Resorts & Amusements, NOC;A1
282;Apartments Bldg. / Condominium Assoc.;A1
283;Universities & Colleges;A2
284;Primary & Secondary Schools (No College);A1
285;Hotels/Motels;A2
286;Restaurants;A1
287;Churches;A1
288;Funeral Homes;A1
289;Places of Public Assembly;A1
290;Mobil Home Parks;A2
300;Printing & Publishing, NOC;B
301;Book Publishing;B
302;Commercial Printing;B
303;Photocopying/Quick Printing;A2
304;Newspaper Printing;B
310;Pulp Mill Only;J
311;Paper Mill Only;J
312;Paper Container Plants;J
