Y/X;Territory 1;Territory 2;Territory 3;Territory 4;Territory 5;Territory 6;Territory 8;Territory 9
Vehicle Type <102;353;296;2037;215;1433;491;353;353
Vehicle Type 102;353;296;2037;215;1433;491;353;353
Vehicle Type 103;300;272;1731;183;1218;417;300;300
Vehicle Type 104;200;195;1154;122;812;278;200;200
Vehicle Type 105;234;205;1350;143;950;325;234;234
Vehicle Type 106;213;135;1229;130;865;296;213;213
Vehicle Type 107;203;237;1171;124;824;282;203;203
Vehicle Type 108;213;198;1229;130;865;296;213;213
Vehicle Type 109;115;177;664;70;467;160;115;115
Vehicle Type 110;190;207;1096;116;771;264;190;190
Vehicle Type 111;208;205;1200;127;844;289;208;208
Vehicle Type 113;282;229;1627;172;1145;392;282;282
Vehicle Type 114;373;339;2152;228;1514;518;373;373
Vehicle Type 115;282;282;1627;172;1145;392;282;282
Vehicle Type 116;160;187;923;98;650;222;160;160
Vehicle Type 117;142;180;819;87;577;197;142;142
Vehicle Type >117;142;180;819;87;577;197;142;142
