X/Y;false;true
Territory 1;33;23
Territory 3;14;10
Territory 5;14;10
Territory 6;9;6
Territory 7;9;6
Territory 8;15;11
Territory 9;11;8
Territory 10;16;11
Territory 12;7;5
Territory 14;34;24
Territory 21;13;9
Territory 22;12;8
Territory 23;11;8
Territory 24;10;7
Territory 25;11;8
Territory 27;9;6
Territory 34;18;13
Territory 38;15;11
Territory 39;16;11
Territory 40;12;8
Territory 41;21;15
Territory 42;27;19
Territory 43;20;14
Territory 45;15;11
Territory 46;12;8
Territory 47;16;11
Territory 48;13;9
Territory 49;13;9
Territory 51;12;8
Territory 52;13;9
Territory 53;11;8
Territory 54;12;8
Territory 55;18;13
Territory 56;11;8
Territory 57;10;7
Territory 58;9;6
Territory 59;14;10
Territory 61;10;7
Territory 70;24;17
Territory 71;12;8
