X/Y;Weight 0;Weight 1;Weight 2;Weight 3;Weight 4;Weight 5
25000;0.73;0.73;0.72;0.71;0.72;0.71
60000;0.92;0.92;0.9;0.89;0.9;0.89
100000;1;1;1;1;1;1
125000;1.03;1.03;1.05;1.06;1.05;1.06
150000;1.06;1.06;1.09;1.1;1.09;1.1
200000;1.12;1.12;1.16;1.18;1.16;1.18
250000;1.16;1.16;1.22;1.24;1.22;1.24
300000;1.2;1.2;1.28;1.3;1.28;1.3
350000;1.24;1.24;1.32;1.35;1.32;1.35
400000;1.27;1.27;1.36;1.39;1.36;1.39
500000;1.32;1.32;1.42;1.47;1.42;1.47
600000;1.36;1.36;1.47;1.54;1.47;1.54
750000;1.41;1.41;1.53;1.64;1.53;1.64
1000000;1.47;1.47;1.61;1.76;1.61;1.76
1500000;1.54;1.54;1.71;1.93;1.71;1.93
2000000;1.58;1.58;1.79;2.05;1.79;2.05
2500000;1.62;1.62;1.86;2.14;1.86;2.14
3000000;1.66;1.66;1.92;2.22;1.92;2.22
5000000;1.8;1.8;2.06;2.48;2.06;2.48
7500000;1.92;1.92;2.19;2.74;2.19;2.74
10000000;2;2;2.29;2.94;2.29;2.94

