DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0111,WHEAT
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0112,RICE
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0115,CORN
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0116,SOYBEANS
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0119,CASH GRAINS NOT ELSEWHERE CLASSIFIED
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0131,COTTON
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0132,TOBACCO
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0133,SUGARCANEAND SUGAR BEETS
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0134,IRISH POTATOES
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0139,FIELD CROPS EXCEPT CASH GRAINS NOT ELSEWHERE CLASSIFIED
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0161,VEGETABLESAND MELONS
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0171,BERRY CROPS
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0172,GRAPES
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0173,TREE NUTS
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0174,CITRUS FRUITS
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0175,DECIDUOUS TREE FRUITS
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0179,FRUITSAND TREE NUTS NOT ELSEWHERE CLASSIFIED
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0181,ORNAMENTAL FLORICULTUREAND NURSERY PRODUCTS
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0182,FOOD CROPS GROWN UNDER COVER
DIVISION A. AGRICULTURE FORESTRY AND FISHING,01 AGRICULTURAL PRODUCTION-CROPS,0191,GENERAL FARMS PRIMARILY CROP
