ALFA ROMEO     , ALFA 147 , 1.6 TS DISTINCTIVE ,07, 937BXA1A05    , BE5,nr15545,   ,INJ ,105,Yes
ALFA ROMEO     , ALFA 147 , 1.6 TS DISTINCTIVE ,08, 937BXB1A06    , BE5,nr15546,   ,INJ ,120,Yes
ALFA ROMEO     , ALFA 147 , 1.6 TS PROGRESSION ,07, 937BXA1A05    , BE5,nr15547,   ,INJ ,105,Yes
ALFA ROMEO     , ALFA 147 , 1.6 TS PROGRESSION ,08, 937BXB1A06    , BE5,nr15548,   ,INJ ,120,Yes
ALFA ROMEO     , ALFA 147 , 1.9 JTD DISTINCTIVE,07, 937AXD1A04    , BE3,nr15549,   ,DITU,115,Yes
ALFA ROMEO     , ALFA 147 , 1.9 JTD DISTINCTIVE,07, 937BXD1A08    , BE5,nr15550,   ,DITU,115,Yes
ALFA ROMEO     , ALFA 147 , 1.9 JTD PROGRESSION,07, 937AXD1A04    , BE3,nr15551,   ,DITU,115,Yes
ALFA ROMEO     , ALFA 147 , 1.9 JTD PROGRESSION,07, 937BXD1A08    , BE5,nr15552,   ,DITU,115,Yes
ALFA ROMEO     , ALFA 147 , 2.0 SELESPEED      ,10, 937BXC1107    , BE5,nr15553,   ,INJ ,150,Yes
ALFA ROMEO     , ALFA 147 , 2.0 TS DISTINCTIVE ,10, 937BXC1A09    , BE5,nr15554,   ,INJ ,150,Yes
ALFA ROMEO     , ALFA 156 , 1.8 TS             ,09, 932A310030    , BE4,nr15555,P7 ,INJ ,140,Yes
ALFA ROMEO     , ALFA 156 , 1.8 TS PACK        ,09, 932A310030    , BE4,nr15556,P7 ,INJ ,140,Yes
ALFA ROMEO     , ALFA 156 , 1.9 110 JTD        ,07, 932A2B0041    , BE4,nr15557,S7 ,DITU,110,Yes
ALFA ROMEO     , ALFA 156 , 1.9 110 JTD PACK   ,07, 932A2B0041    , BE4,nr15558,S7 ,DITU,110,Yes
ALFA ROMEO     , SPORTWAGO,N1.8 TS             ,09, 932B31003     , BK5,nr15559,P7 ,INJ ,140,Yes
ALFA ROMEO     , SPORTWAGO,N1.8 TS PACK        ,09, 932B31003     , BK5,nr15560,P7 ,INJ ,140,Yes
ALFA ROMEO     , SPORTWAGO,N1.9 110 JTD        ,07, 932B2B004     , BK5,nr15561,S7 ,DITU,110,Yes
ALFA ROMEO     , SPORTWAGO,N1.9 110 JTD PACK   ,07, 932B2B004     , BK5,nr15562,S7 ,DITU,110,Yes
AUDI           , A4       , 1.8T PACK          ,09,               , BE4,nr15563,S7 ,INTU,150,Yes
AUDI           , A4       , 1.8T PACK PLUS     ,09,               , BE4,nr15564,S7 ,INTU,150,Yes
AUDI           , A4       , 1.8T PACK PLUS QUAT,09,T              , BE4,nr15565,S7 ,INTU,150,Yes
AUDI           , A4       , 1.8T PACK QUATTRO  ,09,               , BE4,nr15566,S7 ,INTU,150,Yes
AUDI           , A4       , 1.8T REFERENCE     ,09,               , BE4,nr15567,S7 ,INTU,150,Yes
AUDI           , A4       , 1.9 TDI 130 PACK   ,07,               , BE4,nr15568,   ,DITU,130,Yes
AUDI           , A4       , 1.9TDI 130 PACK PLU,07,S              , BE4,nr15569,   ,DITU,130,Yes
AUDI           , A4       , 1.9TDI 130 REFERENC,07,E              , BE4,nr15570,   ,DITU,130,Yes
AUDI           , A4       , 2.0 PACK           ,08,               , BE4,nr15571,S7 ,INJ ,130,Yes
AUDI           , A4       , 2.0 PACK MULTITRONI,09,C              , BE4,nr15572,S7 ,INJ ,130,Yes
AUDI           , A4       , 2.0 REFERENCE      ,08,               , BE4,nr15573,S7 ,INJ ,130,Yes
