99.26;;;;;90-95 Basic Female ALB;;;;;;;;;;;;;;;;;;;;;
Age/Dur;1;2;3;4;5;6;7;8;9;10;11;12 ;13 ;14 ;15 ;16 ;17 ;18 ;19 ;20 ;21 ;22 ;23 ;24 ;25 ;26 
0;0.46;0.32;0.21;0.15;0.12;0.11;0.13;0.15;0.15;0.16;0.16;0.17;0.21;0.24;0.27;0.29;0.32;0.33;0.35;0.37;0.38;0.39;0.39;0.40;0.41;0.41
1;0.24;0.19;0.13;0.11;0.11;0.13;0.14;0.15;0.15;0.16;0.17;0.19;0.22;0.26;0.29;0.32;0.33;0.35;0.37;0.38;0.39;0.39;0.40;0.41;0.41;0.43
2;0.18;0.13;0.10;0.10;0.13;0.14;0.14;0.15;0.16;0.17;0.18;0.21;0.25;0.29;0.32;0.33;0.34;0.36;0.38;0.39;0.39;0.40;0.41;0.41;0.42;0.45
3;0.10;0.10;0.09;0.12;0.13;0.14;0.15;0.16;0.16;0.17;0.20;0.25;0.29;0.32;0.33;0.34;0.36;0.38;0.39;0.39;0.40;0.41;0.41;0.42;0.44;0.47
4;0.09;0.09;0.11;0.13;0.14;0.14;0.15;0.16;0.17;0.20;0.25;0.29;0.32;0.33;0.34;0.36;0.38;0.39;0.39;0.40;0.41;0.41;0.42;0.44;0.47;0.49
5;0.09;0.10;0.12;0.13;0.14;0.15;0.16;0.16;0.19;0.24;0.28;0.32;0.33;0.34;0.36;0.38;0.39;0.39;0.40;0.41;0.41;0.42;0.44;0.47;0.48;0.53
6;0.10;0.11;0.12;0.13;0.14;0.15;0.16;0.19;0.24;0.28;0.32;0.33;0.34;0.34;0.36;0.39;0.39;0.40;0.41;0.41;0.42;0.44;0.47;0.48;0.51;0.60
7;0.11;0.11;0.12;0.14;0.15;0.16;0.18;0.24;0.28;0.32;0.33;0.33;0.32;0.36;0.37;0.39;0.40;0.41;0.41;0.42;0.44;0.47;0.48;0.51;0.57;0.67
8;0.11;0.11;0.13;0.15;0.15;0.18;0.23;0.28;0.32;0.33;0.33;0.32;0.34;0.36;0.35;0.40;0.41;0.41;0.42;0.44;0.47;0.48;0.51;0.57;0.64;0.74
9;0.11;0.12;0.14;0.15;0.17;0.23;0.28;0.32;0.33;0.32;0.31;0.34;0.35;0.35;0.38;0.41;0.41;0.42;0.44;0.47;0.48;0.51;0.57;0.64;0.71;0.80
10;0.12;0.13;0.15;0.17;0.22;0.28;0.32;0.33;0.32;0.30;0.33;0.34;0.34;0.37;0.38;0.41;0.42;0.44;0.47;0.48;0.51;0.57;0.64;0.71;0.77;0.85
11;0.13;0.14;0.17;0.22;0.28;0.32;0.33;0.31;0.30;0.32;0.33;0.33;0.36;0.38;0.40;0.42;0.44;0.47;0.48;0.51;0.57;0.64;0.71;0.77;0.83;0.90
12;0.14;0.16;0.21;0.26;0.32;0.33;0.31;0.30;0.31;0.32;0.32;0.36;0.37;0.40;0.40;0.44;0.47;0.48;0.51;0.57;0.64;0.71;0.77;0.83;0.88;0.94
13;0.16;0.18;0.24;0.30;0.32;0.30;0.29;0.31;0.31;0.32;0.35;0.36;0.37;0.39;0.42;0.47;0.48;0.51;0.57;0.64;0.71;0.77;0.83;0.88;0.93;0.96
14;0.18;0.23;0.29;0.31;0.30;0.29;0.30;0.31;0.31;0.34;0.35;0.35;0.37;0.40;0.44;0.48;0.51;0.57;0.64;0.71;0.77;0.83;0.88;0.93;0.96;0.96
15;0.19;0.28;0.31;0.29;0.29;0.30;0.30;0.30;0.32;0.34;0.34;0.36;0.39;0.43;0.45;0.51;0.57;0.64;0.71;0.77;0.83;0.88;0.93;0.96;0.96;0.98
16;0.28;0.30;0.29;0.28;0.30;0.30;0.29;0.32;0.33;0.34;0.35;0.38;0.40;0.43;0.48;0.57;0.64;0.71;0.77;0.83;0.88;0.93;0.96;0.96;0.97;1.03
17;0.29;0.29;0.27;0.29;0.30;0.29;0.29;0.33;0.33;0.34;0.36;0.39;0.42;0.47;0.54;0.64;0.71;0.77;0.83;0.88;0.93;0.96;0.96;0.97;1.00;1.13
18;0.27;0.25;0.28;0.30;0.29;0.29;0.31;0.32;0.33;0.35;0.38;0.41;0.46;0.54;0.62;0.71;0.77;0.83;0.88;0.93;0.96;0.96;0.97;1.00;1.09;1.25
19;0.23;0.27;0.29;0.28;0.28;0.29;0.31;0.32;0.34;0.37;0.39;0.45;0.53;0.61;0.69;0.77;0.83;0.88;0.93;0.96;0.96;0.97;1.00;1.09;1.20;1.39
20;0.22;0.25;0.26;0.28;0.29;0.30;0.30;0.33;0.36;0.38;0.43;0.51;0.58;0.66;0.75;0.82;0.88;0.93;0.96;0.96;0.97;1.00;1.09;1.20;1.33;1.53
21 ;0.19;0.22;0.24;0.27;0.28;0.30;0.32;0.35;0.37;0.42;0.48;0.55;0.62;0.71;0.79;0.87;0.92;0.95;0.96;0.97;1.00;1.09;1.20;1.33;1.47;1.71
22 ;0.16;0.19;0.22;0.26;0.29;0.31;0.33;0.36;0.40;0.47;0.54;0.61;0.69;0.74;0.83;0.90;0.95;0.95;0.96;1.00;1.09;1.20;1.33;1.47;1.63;1.90
23 ;0.16;0.19;0.22;0.25;0.29;0.32;0.34;0.39;0.46;0.53;0.60;0.68;0.74;0.80;0.88;0.94;0.95;0.96;1.00;1.09;1.20;1.33;1.47;1.63;1.82;2.11
24 ;0.16;0.19;0.22;0.26;0.30;0.32;0.36;0.43;0.53;0.60;0.67;0.73;0.80;0.85;0.92;0.94;0.96;1.00;1.09;1.20;1.33;1.47;1.63;1.82;2.02;2.34
25 ;0.16;0.19;0.23;0.27;0.29;0.33;0.39;0.49;0.59;0.66;0.73;0.79;0.83;0.88;0.93;0.96;1.00;1.09;1.20;1.33;1.47;1.63;1.82;2.02;2.24;2.62
26 ;0.16;0.20;0.24;0.27;0.30;0.35;0.44;0.54;0.66;0.73;0.79;0.81;0.81;0.90;0.95;1.00;1.09;1.20;1.33;1.47;1.63;1.82;2.02;2.24;2.50;2.95
27 ;0.17;0.20;0.24;0.27;0.31;0.38;0.48;0.59;0.72;0.78;0.79;0.79;0.82;0.92;1.00;1.08;1.20;1.33;1.47;1.63;1.82;2.02;2.24;2.50;2.81;3.32
28 ;0.17;0.20;0.25;0.30;0.35;0.42;0.51;0.61;0.72;0.78;0.78;0.78;0.83;0.96;1.08;1.20;1.33;1.47;1.63;1.82;2.02;2.24;2.50;2.81;3.17;3.72
29 ;0.17;0.21;0.27;0.33;0.39;0.45;0.53;0.62;0.72;0.77;0.76;0.79;0.87;1.05;1.19;1.33;1.47;1.63;1.82;2.02;2.24;2.50;2.81;3.17;3.56;4.15
30 ;0.17;0.22;0.29;0.36;0.42;0.48;0.55;0.63;0.70;0.73;0.75;0.82;0.95;1.17;1.32;1.47;1.63;1.81;2.02;2.24;2.50;2.81;3.17;3.56;3.97;4.61
31 ;0.18;0.24;0.31;0.38;0.45;0.50;0.56;0.62;0.66;0.71;0.77;0.88;1.06;1.31;1.47;1.63;1.81;2.01;2.24;2.49;2.80;3.16;3.56;3.97;4.41;5.11
32 ;0.20;0.26;0.33;0.41;0.47;0.52;0.59;0.60;0.67;0.74;0.82;0.98;1.19;1.45;1.62;1.81;2.01;2.24;2.49;2.80;3.15;3.54;3.97;4.41;4.90;5.64
33 ;0.20;0.27;0.35;0.44;0.51;0.56;0.59;0.64;0.71;0.82;0.97;1.14;1.35;1.62;1.81;2.01;2.23;2.49;2.79;3.14;3.52;3.93;4.41;4.90;5.42;6.22
34 ;0.21;0.28;0.37;0.46;0.54;0.59;0.63;0.70;0.82;0.96;1.14;1.34;1.59;1.80;2.01;2.23;2.49;2.79;3.10;3.48;3.89;4.35;4.90;5.42;5.98;6.81
35 ;0.21;0.29;0.38;0.48;0.56;0.62;0.69;0.80;0.96;1.13;1.33;1.57;1.74;2.00;2.23;2.48;2.78;3.10;3.45;3.85;4.30;4.80;5.36;5.98;6.58;7.40
36 ;0.20;0.29;0.39;0.49;0.58;0.68;0.79;0.93;1.12;1.32;1.55;1.71;1.97;2.22;2.47;2.78;3.08;3.41;3.81;4.28;4.76;5.31;5.91;6.58;7.16;8.05
37 ;0.20;0.29;0.39;0.50;0.62;0.76;0.91;1.07;1.29;1.54;1.70;1.96;2.19;2.44;2.74;3.07;3.39;3.77;4.24;4.75;5.28;5.85;6.49;7.12;7.78;8.73
38 ;0.22;0.32;0.42;0.54;0.68;0.84;1.00;1.17;1.41;1.66;1.94;2.16;2.41;2.70;3.00;3.37;3.72;4.22;4.73;5.25;5.79;6.39;7.10;7.75;8.40;9.44
39 ;0.24;0.35;0.46;0.60;0.77;0.94;1.10;1.29;1.53;1.79;2.08;2.33;2.63;2.95;3.25;3.69;4.15;4.72;5.22;5.73;6.32;7.01;7.73;8.36;9.05;10.28
40 ;0.26;0.39;0.53;0.69;0.86;1.03;1.22;1.41;1.66;1.93;2.22;2.52;2.87;3.21;3.51;4.04;4.63;5.19;5.68;6.26;6.94;7.63;8.32;8.97;9.81;11.32
41 ;0.29;0.45;0.62;0.79;0.96;1.15;1.35;1.55;1.80;2.08;2.39;2.74;3.11;3.47;3.80;4.49;5.13;5.62;6.22;6.87;7.55;8.27;8.92;9.76;10.79;12.52
42 ;0.33;0.53;0.71;0.89;1.09;1.28;1.50;1.71;1.96;2.25;2.59;2.96;3.37;3.76;4.19;4.98;5.56;6.16;6.79;7.44;8.23;8.88;9.71;10.75;11.95;13.70
43 ;0.37;0.60;0.81;1.02;1.24;1.45;1.68;1.90;2.18;2.52;2.88;3.29;3.75;4.18;4.60;5.48;6.09;6.72;7.32;8.11;8.79;9.66;10.70;11.93;13.11;14.89
44 ;0.41;0.67;0.92;1.17;1.41;1.64;1.88;2.13;2.44;2.79;3.19;3.66;4.18;4.59;5.08;6.01;6.65;7.28;8.03;8.74;9.57;10.65;11.91;13.06;14.17;16.18
