99.26;;;;;90-95 Basic Male ALB;;;;;;;;;;;;;;;;;;;;;
Age/Dur;1;2;3;4;5;6;7;8;9;10;11;12 ;13 ;14 ;15 ;16 ;17 ;18 ;19 ;20 ;21 ;22 ;23 ;24 ;25 ;26 
0;0.82;0.46;0.30;0.21;0.14;0.14;0.15;0.15;0.16;0.16;0.16;0.20;0.26;0.32;0.40;0.50;0.73;0.81;0.86;0.88;0.89;0.89;0.90;0.91;0.93;0.97
1;0.37;0.28;0.19;0.14;0.14;0.14;0.15;0.15;0.15;0.15;0.18;0.23;0.28;0.35;0.49;0.71;0.79;0.85;0.86;0.88;0.88;0.90;0.91;0.93;0.96;1.03
2;0.27;0.18;0.13;0.14;0.14;0.14;0.15;0.14;0.13;0.16;0.20;0.25;0.30;0.43;0.69;0.77;0.84;0.86;0.87;0.88;0.89;0.91;0.92;0.96;1.00;1.12
3;0.17;0.13;0.13;0.13;0.14;0.14;0.13;0.12;0.15;0.19;0.25;0.29;0.43;0.67;0.77;0.84;0.85;0.87;0.87;0.89;0.90;0.92;0.96;1.00;1.08;1.26
4;0.13;0.13;0.13;0.14;0.13;0.13;0.12;0.14;0.19;0.24;0.29;0.43;0.66;0.76;0.83;0.85;0.87;0.87;0.89;0.90;0.92;0.96;1.00;1.08;1.20;1.38
5;0.13;0.13;0.13;0.13;0.12;0.12;0.14;0.18;0.22;0.28;0.42;0.65;0.76;0.83;0.85;0.87;0.87;0.88;0.90;0.91;0.96;1.00;1.08;1.19;1.36;1.46
6;0.13;0.13;0.13;0.12;0.12;0.14;0.17;0.22;0.27;0.41;0.65;0.76;0.83;0.85;0.87;0.86;0.88;0.89;0.91;0.96;1.00;1.08;1.19;1.36;1.43;1.54
7;0.13;0.12;0.12;0.12;0.14;0.17;0.21;0.27;0.40;0.65;0.75;0.83;0.84;0.86;0.86;0.88;0.89;0.90;0.95;1.00;1.08;1.19;1.36;1.43;1.52;1.61
8;0.12;0.12;0.12;0.13;0.16;0.21;0.26;0.40;0.65;0.75;0.83;0.84;0.86;0.86;0.87;0.88;0.89;0.90;0.94;1.08;1.19;1.36;1.43;1.52;1.58;1.70
9;0.12;0.12;0.13;0.16;0.20;0.26;0.39;0.65;0.75;0.83;0.84;0.86;0.86;0.87;0.88;0.89;0.89;0.93;1.02;1.14;1.36;1.43;1.52;1.58;1.66;1.80
10;0.12;0.13;0.15;0.20;0.26;0.38;0.65;0.75;0.81;0.81;0.85;0.85;0.86;0.87;0.88;0.88;0.93;1.02;1.14;1.31;1.41;1.52;1.58;1.66;1.76;1.90
11;0.12;0.15;0.19;0.25;0.37;0.65;0.75;0.81;0.81;0.85;0.85;0.86;0.86;0.87;0.88;0.92;1.01;1.13;1.31;1.40;1.50;1.58;1.66;1.76;1.86;2.00
12;0.14;0.18;0.25;0.36;0.65;0.75;0.81;0.81;0.83;0.84;0.85;0.85;0.86;0.88;0.92;1.01;1.12;1.30;1.39;1.49;1.55;1.66;1.76;1.86;1.96;2.09
13;0.17;0.24;0.36;0.65;0.75;0.81;0.81;0.82;0.83;0.84;0.84;0.85;0.87;0.90;0.96;1.11;1.29;1.39;1.48;1.53;1.65;1.76;1.86;1.96;2.07;2.16
14;0.23;0.35;0.65;0.74;0.81;0.81;0.82;0.83;0.84;0.83;0.84;0.86;0.88;0.95;1.08;1.25;1.38;1.48;1.52;1.63;1.75;1.86;1.96;2.07;2.13;2.22
15;0.34;0.65;0.74;0.81;0.81;0.81;0.81;0.82;0.83;0.84;0.85;0.88;0.93;1.04;1.24;1.37;1.47;1.50;1.62;1.74;1.85;1.94;2.07;2.13;2.20;2.22
16;0.65;0.74;0.81;0.80;0.81;0.79;0.80;0.81;0.82;0.84;0.86;0.91;1.02;1.20;1.32;1.41;1.48;1.59;1.73;1.84;1.93;2.03;2.13;2.19;2.20;2.20
17;0.74;0.81;0.80;0.81;0.79;0.80;0.81;0.82;0.83;0.86;0.89;0.99;1.14;1.28;1.31;1.42;1.54;1.65;1.79;1.91;2.03;2.11;2.18;2.18;2.18;2.19
18;0.81;0.80;0.81;0.79;0.79;0.79;0.80;0.81;0.84;0.88;0.98;1.09;1.27;1.30;1.30;1.45;1.62;1.75;1.87;1.99;2.09;2.15;2.17;2.18;2.18;2.25
19;0.79;0.78;0.78;0.77;0.76;0.77;0.79;0.82;0.87;0.97;1.03;1.23;1.27;1.28;1.31;1.52;1.68;1.82;1.94;2.04;2.13;2.17;2.17;2.18;2.21;2.35
20;0.76;0.71;0.72;0.71;0.70;0.72;0.75;0.79;0.87;1.01;1.11;1.21;1.22;1.26;1.33;1.56;1.76;1.90;2.00;2.09;2.14;2.16;2.16;2.21;2.30;2.50
21 ;0.67;0.64;0.65;0.65;0.68;0.70;0.78;0.83;0.86;0.96;1.08;1.16;1.19;1.25;1.35;1.59;1.82;1.93;2.05;2.12;2.12;2.12;2.17;2.30;2.43;2.67
22 ;0.62;0.59;0.60;0.60;0.65;0.73;0.82;0.82;0.81;0.91;1.02;1.12;1.15;1.24;1.36;1.62;1.85;1.96;2.07;2.08;2.10;2.17;2.25;2.43;2.60;2.82
23 ;0.55;0.53;0.54;0.59;0.65;0.76;0.81;0.77;0.76;0.92;1.02;1.12;1.17;1.26;1.40;1.67;1.89;1.99;2.03;2.07;2.13;2.25;2.37;2.55;2.76;2.98
24 ;0.46;0.48;0.50;0.59;0.67;0.80;0.72;0.74;0.89;0.94;1.03;1.12;1.17;1.28;1.42;1.72;1.92;1.99;2.03;2.10;2.23;2.36;2.54;2.71;2.91;3.19
25 ;0.38;0.42;0.49;0.60;0.71;0.70;0.71;0.86;0.90;0.97;1.04;1.11;1.18;1.28;1.45;1.77;1.91;1.99;2.08;2.21;2.35;2.52;2.71;2.89;3.09;3.49
26 ;0.35;0.42;0.49;0.63;0.69;0.69;0.81;0.85;0.91;0.99;1.03;1.10;1.16;1.28;1.48;1.75;1.96;2.06;2.18;2.34;2.52;2.70;2.88;3.08;3.35;3.87
27 ;0.33;0.42;0.51;0.60;0.67;0.73;0.78;0.85;0.93;1.01;1.08;1.12;1.23;1.30;1.49;1.81;2.05;2.16;2.31;2.51;2.68;2.87;3.07;3.35;3.70;4.34
28 ;0.33;0.45;0.52;0.62;0.68;0.75;0.81;0.88;0.96;1.05;1.09;1.17;1.27;1.38;1.56;1.86;2.13;2.29;2.50;2.68;2.86;3.07;3.34;3.70;4.10;4.89
29 ;0.32;0.45;0.53;0.62;0.69;0.77;0.84;0.91;0.99;1.08;1.16;1.25;1.36;1.48;1.68;1.99;2.27;2.50;2.67;2.85;3.06;3.34;3.69;4.10;4.58;5.52
30 ;0.32;0.44;0.53;0.62;0.71;0.79;0.87;0.94;1.01;1.11;1.22;1.32;1.46;1.62;1.84;2.14;2.48;2.67;2.85;3.05;3.34;3.68;4.09;4.58;5.14;6.22
31 ;0.30;0.43;0.53;0.63;0.72;0.80;0.90;0.96;1.04;1.14;1.26;1.41;1.60;1.82;2.06;2.38;2.66;2.84;3.05;3.33;3.68;4.09;4.57;5.12;5.76;6.96
32 ;0.29;0.41;0.53;0.64;0.73;0.83;0.92;1.01;1.10;1.16;1.32;1.53;1.79;2.06;2.31;2.65;2.83;3.04;3.32;3.67;4.08;4.55;5.11;5.73;6.42;7.65
33 ;0.31;0.43;0.56;0.66;0.78;0.87;0.98;1.06;1.14;1.24;1.41;1.65;1.96;2.28;2.53;2.82;3.03;3.31;3.66;4.06;4.53;5.09;5.69;6.38;7.09;8.32
34 ;0.33;0.45;0.58;0.70;0.81;0.92;1.05;1.13;1.22;1.36;1.55;1.82;2.17;2.51;2.74;3.03;3.30;3.66;4.05;4.51;5.08;5.63;6.32;7.02;7.63;9.10
35 ;0.35;0.47;0.61;0.72;0.85;0.97;1.09;1.21;1.35;1.53;1.73;2.01;2.37;2.72;2.97;3.29;3.65;4.03;4.49;5.03;5.60;6.26;6.98;7.55;8.28;10.08
36 ;0.37;0.49;0.62;0.75;0.88;1.01;1.15;1.32;1.51;1.71;1.97;2.21;2.57;2.96;3.28;3.65;4.02;4.42;5.02;5.57;6.22;6.95;7.51;8.22;9.17;11.29
37 ;0.39;0.51;0.64;0.78;0.91;1.05;1.24;1.47;1.67;1.94;2.16;2.40;2.78;3.27;3.64;4.00;4.40;4.97;5.51;6.19;6.91;7.47;8.17;9.09;10.28;12.70
38 ;0.42;0.57;0.71;0.83;0.96;1.14;1.37;1.63;1.91;2.14;2.34;2.62;3.04;3.54;3.95;4.39;4.92;5.46;6.12;6.88;7.45;8.15;9.05;10.22;11.61;14.23
