AQUAFORTE;A0A 1A0;NEWFOUNDLAND AND LABRADOR;;NL
MONTREAL;G1H 3R1;QUEBEC;;QC
QUEBEC;G1R T3Y;QUEBEC;;QC
REGINA;J3W 4Y8;SASKATCHEWAN;;SK
TORONTO;G1R 3U7;ONTARIO;;ON
VANCOUVER;G1F 3G7;BRITISH COLOMBIA;;BC
HALIFAX;T4R 4F7;NOVA SCOTIA;;NS
WINNIPEG;A4F 5I6;MANITOBA;;MB
CALGARY;T4F 5I7;ALBERTA;;AB
IQALUIT;T5F 3D6;NUNAVUT;;NU
FREDERICTON;T4F 5I8;NEW BRONSWICK;;NB
WHITEHORSE;T4F 5I9;YUKON;;YT
AGUANISH                      ;G0G1A0;QUEBEC;;QC
BAIE-JOHAN-BEETZ              ;G0G1B0;QUEBEC;;QC
BAIE-TRINITE                  ;G0H1A0;QUEBEC;;QC
BARACHOIS                     ;G0C1A0;QUEBEC;;QC
BASSIN                        ;G0B1A0;QUEBEC;;QC
BEAUPRE                       ;G0A1E0;QUEBEC;;QC
BLANC-SABLON                  ;G0G1C0;QUEBEC;;QC
BOISCHATEL                    ;G0A1H0;QUEBEC;;QC
BONAVENTURE                   ;G0C1E0;QUEBEC;;QC
BRADOR                        ;G0G1E0;QUEBEC;;QC
CAP-AU-RENARD                 ;G0E1C0;QUEBEC;;QC
CAP-AUX-MEULES                ;G0B1B0;QUEBEC;;QC
CAP-D'ESPOIR                  ;G0C1G0;QUEBEC;;QC
CAP-SANTE                     ;G0A1L0;QUEBEC;;QC
CAPLAN                        ;G0C1H0;QUEBEC;;QC
CARLETON                      ;G0C1J0;QUEBEC;;QC
CASCAPEDIA-SAINT-JULES        ;G0C1T0;QUEBEC;;QC
CHANDLER                      ;G0C1K0;QUEBEC;;QC
CHATEAU-RICHER                ;G0A1N0;QUEBEC;;QC
CHEVERY                       ;G0G1G0;QUEBEC;;QC
CLARKE CITY                   ;G0G1H0;QUEBEC;;QC
CLORIDORME                    ;G0E1G0;QUEBEC;;QC
COURCELETTE                   ;G0A4Z0;QUEBEC;;QC
COURCELETTE                   ;G0A1R2;QUEBEC;;QC
COURCELETTE                   ;G0A1R0;QUEBEC;;QC
COURCELETTE                   ;G0A1R1;QUEBEC;;QC
DESCHAMBAULT                  ;G0A1S0;QUEBEC;;QC
DONNACONA                     ;G0A1T0;QUEBEC;;QC
ENTRY ISLAND                  ;G0B1C0;QUEBEC;;QC
ESCUMINAC                     ;G0C1N0;QUEBEC;;QC
FATIMA                        ;G0B1G0;QUEBEC;;QC
FERMONT                       ;G0G1J0;QUEBEC;;QC
GALLIX                        ;G0G1L0;QUEBEC;;QC
