BOURG EN BRESSE;1000;AIN;10053;01
BERTHENICOURT;2240;AISNE;20075;02
ST ETIENNE DE VICQ;3300;ALLIER;30230;03
HAUTES DUVES;4380;ALPES DE HAUTE PROVENCE;40177;04
NEFFES;5000;HAUTES ALPES;50092;05
VALBONNE;6560;ALPES MARITIMES;60152;06
CREYSSEILLES;7000;ARDECHE;70074;07
MONTCORNET EN ARDENNE;8090;ARDENNES;80125;08
DAMOUZY;08090;ARDENNES;08090;08
MOULIS;9200;ARIEGE;90214;09
TROUAN LE GRAND;10700;AUBE;100385;10
BAGES;11100;AUDE;110024;11
CRUEJOULS;12340;AVEYRON;120087;12
FONTVIEILLE;13990;BOUCHES DU RHONE;130038;13
MARSEILLE 1ER ARRONDISSEM;13001;BOUCHES DU RHONE;130201;13
MARSEILLE 2EME ARRONDISSE;13002;BOUCHES DU RHONE;130202;13
MARSEILLE 3EME ARRONDISSE;13003;BOUCHES DU RHONE;130203;13
MARSEILLE 4EME ARRONDISSE;13004;BOUCHES DU RHONE;130204;13
MARSEILLE 5EME ARRONDISSE;13005;BOUCHES DU RHONE;130205;13
MARSEILLE 6EME ARRONDISSE;13006;BOUCHES DU RHONE;130206;13
MARSEILLE 7EME ARRONDISSE;13007;BOUCHES DU RHONE;130207;13
BIEVILLE BEUVILLE;14112;CALVADOS;140068;14
MONTVERT;15150;CANTAL;150135;15
ST GOURSON;16700;CHARENTE;160325;16
LA PALLICE;17000;CHARENTE MARITIME;170900;17
LES AIX D ANGILLON;18220;CHER;180003;18
REYGADE;19430;CORREZE;190171;19
VILLE DI PARASO;20279;CORSE;202352;20
AVELANGES;21120;COTE D'OR;210039;21
MAROUE;22400;COTES D'ARMOR;220142;22
MAINSAT;23700;CREUSE;230116;23
MONFAUCON;24130;DORDOGNE;240277;24
LES HOPITAUX VIEUX;25370;DOUBS;250308;25
BUIS LES BARONNIES;26170;DROME;260063;26
ST CYR LA CAMPAGNE;27370;EURE;270529;27
MARBOUE;28200;EURE ET LOIR;280233;28
ST PABU;29830;FINISTERE;290257;29
CONGENIES;30111;GARD;300091;30
SALEICH;31260;HAUTE GARONNE;310521;31
SERE;32140;GERS;320430;32
ARSAC;33460;GIRONDE;330012;33
PAULHAN;34230;HERAULT;340194;34
PARIS 1ER ARRONDISSEMENT;75001;PARIS;750101;75
PARIS 2EME ARRONDISSEMENT;75002;PARIS;750102;75
PARIS 3EME ARRONDISSEMENT;75003;PARIS;750103;75
PARIS 4EME ARRONDISSEMENT;75004;PARIS;750104;75
PARIS 5EME ARRONDISSEMENT;75005;PARIS;750105;75
PARIS 6EME ARRONDISSEMENT;75006;PARIS;750106;75
PARIS 7EME ARRONDISSEMENT;75007;PARIS;750107;75
PARIS 8EME ARRONDISSEMENT;75008;PARIS;750108;75
PARIS 9EME ARRONDISSEMENT;75009;PARIS;750109;75
PARIS 10EME ARRONDISSEMENT;75010;PARIS;750110;75
PARIS 11EME ARRONDISSEMENT;75011;PARIS;750111;75
PARIS 12EME ARRONDISSEMENT;75012;PARIS;750112;75
PARIS 13EME ARRONDISSEMENT;75013;PARIS;750113;75
PARIS 14EME ARRONDISSEMENT;75014;PARIS;750114;75
PARIS 15EME ARRONDISSEMENT;75015;PARIS;750115;75
PARIS 16EME ARRONDISSEMENT;75016;PARIS;750116;75
PARIS 17EME ARRONDISSEMENT;75017;PARIS;750117;75
PARIS 18EME ARRONDISSEMENT;75018;PARIS;750118;75
PARIS 19EME ARRONDISSEMENT;75019;PARIS;750119;75
PARIS 20EME ARRONDISSEMENT;75020;PARIS;750120;75
PARIS 16EME ARRONDISSEMENT;75116;PARIS;750116;75
NANTERRE;92000;HAUTS DE SEINE;920050;92
