RESEAU;NOM ENTREPRISE;Nom court;ADRESSE;PROVINCE;CODE POSTAL;VILLE;PAYS;CONTACT
Réseau interne;VANNERIE NOUVELLE AUBRY-GASPARD;VAN;70 BOULEVARD ROMAIN ROLLAND;;35120;SAINT MARCAN;FRANCE;3,35E+11
Cetelem;SEGEPAR;SEG;25 RUE TERME;;08090;DAMOUZY;France;33540802536
Aviva;HERTZ EQUIPEMENT France;HE;4 BIS RUE DE LA MARTINIRRE;;12110;CRANSAC;France;33380253624
Réseau interne;LABORATOIRE D'ANALYSES BIOGEN;LAB;55 RUE DE CONSTANTINE;;39100;VILETTE LES DOLE;France;33240802536
Cetelem;METWALY;MET;8 RUE L ARBRE SEC;;30110;LA GRAND COMBE;France;33346956363
Aviva;SIMO INTERNATIONAL;SIM;86 AVENUE GRENETTE;;62111;SALLY EN BOIS;France;33265894543
Réseau interne;ETUDES CONSTRUCTION AERONAVAL;ECA;6 IMPASSE FERNANDIERE;;24240;THENAC;France;33565985487
Cetelem;TICERA TRADUCTIONS;TT;88 RUE THOMASSIN;;81990;SALIES;France;33280452536
Aviva;STM EMBALLAGES;STM;7 BOULEVARD VICTORE HUGO;;74130;BONNEVILLE;France;33540802536
Réseau interne;HORTICULTURE MATERIAUX TRANSPORT;HOR;PLACE DES CELESTINS;;54330;VITREY;France;33340802536
Cetelem;ALIZE CLIM;ALI;18 PONT DE LA GUILLOTIERE;;92600;ASNIERES SUR SEINE;France;33140802536
Réseau interne;METROPOLE ATELIER;MA;1 RUE DE LA PART DIEU;;09000;FERRIERE SUR ARIEGE;France;33325362563
Réseau interne;RATH SAS CHAUDIERES;RAT;27 AVENUE MOZART;;24800;VAUNAC;France;33331458547
Cetelem;ALLO REPASSAGE EXPRESS;ALL;45 RUE PAUL BERT;;31290;MONCLAR LAURACLAIS;France;33382568896
Aviva;UNION - VALORISATION SELECTIVE  INDUSTRIELLE;UNI;47 RUE DE L'ABONDANCE;;84870;LORIOL DU COMTAT;France;33426458965
Réseau interne;CLINIQUE DENTAIRE MUTUALISTE;CLI;8 RUE RACHAIS;;85210;SAINT GRATIEN;France;33225364568
Réseau interne;WATELEP TRAVAUX PUBLICS;WAT;154 AVENUE FELIX FAURE;;42410;SAINT MICHEL SUR RHONE;France;33235256859
Cetelem;ADLC COORDINATION SECURITE ET PROTECTION SANTE;ADL;6 PLACE MONGE;;75005;PARIS;France;33440846585
Aviva;AVALS SARL;AVA;56 RUE DES TEINTURIERS;;45130;MEUNG SUR LOIRE;France;33264082536
Réseau interne;CANTINE DE LA PLACE ;CAN;ALLEE DE LA PLAGE;;17110;ST GEORGE DE DIDONNE;France;33248502536
