nom;nom court ;numéro immat;STATUT;ADRESSE;Etat;CODE POSTAL;VILLE;PAYS;telephone;contactdes ;Nom 
APRIL Santé;APRS;10000145;Actif;285 RUE DE LA PART DIEU;;85210;SAINT GRATIEN;FRANCE;+33225364568;Service Client;APRIL Santé
AFER Epargne-Actuelle Délégué;AFER;10000146;Actif;154 AVENUE FELIX FAURE;;30110;LA GRAND COMBE;FRANCE;+33346956363;Service Client;AFER Epargne-Actuelle Délégué
Assurances du Beffroi ;ASSBEF;10000147;Actif;1 PONT DE LA GUILLOTIERE;;62111;SALLY EN BOIS;FRANCE;+33265894543;Service Client;Assurances du Beffroi 
Assu 2000 ;ASS2000;10000148;Actif;24 BOULEVARD VIVIER MERLE;;24240;THENAC;FRANCE;+33565985487;Service Client;Assu 2000 
D.B.L Assurances et Finances ;DBLAF;10000149;Actif;125 RUE TERME;;08090;DAMOUZY;FRANCE;+33540802536;Service Client;D.B.L Assurances et Finances 
Courtier Général De France ;CGDF;10000150;Actif;27 AVENUE MOZART;;48500;CANILHAC;FRANCE;+33440846585;Service Client;Courtier Général De France 
Epargne Actuelle (Délégué AFER);EAAFER;10000151;Actif;4 RUE DE LA MARTINIRRE;;35120;SAINT MARCAN;FRANCE;334659854220;Service Client;Epargne Actuelle (Délégué AFER)
Groupe Eurossur ;GERU;10000152;Actif;45 RUE PAUL BERT;;45130;MEUNG SUR LOIRE;FRANCE;+33264082536;Service Client;Groupe Eurossur 
SOFICAS;SOFC;10000153;Actif;40 RUE DE L'ABONDANCE;;42410;SAINT MICHEL SUR RHONE;FRANCE;+33235256859;Service Client;SOFICAS
Courtage Assurances ;CASS;10000155;Actif;6 RUE DES TEINTURIERS;;17110;ST GEORGE DE DIDONNE;FRANCE;+33248502536;Service Client;Courtage Assurances 
Frcourtage;FRCOU;10000156;Actif;IMPASSE FERNANDIERE;;81990;SALIES;FRANCE;+33280452536;Service Client;Frcourtage
Mugnier et Motte Assurances ;MUGMO;10000157;Actif;127 BOULEVARD VICTORE HUGO;;74130;BONNEVILLE;FRANCE;+33540802536;Service Client;Mugnier et Motte Assurances 
UCR;UCR;10000158;Actif;7 BOULEVARD ROMAIN ROLLAND;;92600;ASNIERES SUR SEINE;FRANCE;+33140802536;Service Client;UCR
Verspieren ;VESASS;10000159;Actif;8 RUE L ARBRE SEC;;54330;VITREY;FRANCE;+33340802536;Service Client;Verspieren 
A.D.H. (Assurances Descamps d'Haussy);ADHADH;10000160;Actif;18 RUE RACHAIS;;09000;FERRIERE SUR ARIEGE;FRANCE;+33325362563;Service Client;A.D.H. (Assurances Descamps d'Haussy)
Groupe GESCO Assurances;GESCO;10000161;Actif;186 AVENUE GRENETTE;;24800;VAUNAC;FRANCE;+33331458547;Service Client;Groupe GESCO Assurances
Prevencia;PREVIA;10000162;Actif;80 RUE THOMASSIN;;39100;VILETTE LES DOLE;FRANCE;+33240802536;Service Client;Prevencia
Assurtis;ASIS;10000163;Actif;ALLEE DE LA PLAGE;;31290;MONCLAR LAURACLAIS;FRANCE;+33382568896;Service Client;Assurtis
Assurances Conseil Du Pays ;ACDP;10000164;Actif;PLACE DES CELESTINS;;84870;LORIOL DU COMTAT;FRANCE;+33426458965;Service Client;Assurances Conseil Du Pays 
Cetelem;CET;10000165;Actif;8 RUE LEON JOST;;75001;PARIS;FRANCE;+33331458547;Service Client;Cetelem
Aviva;AVIV;10000166;Actif;PLACE TURENNE;;75008;PARIS;FRANCE;+33248502536;Service Client;Aviva
