Autaugaville;36003;Alabama;;AL;Autauga;01001
Billingsley;36006;Alabama;;AL;Autauga;01001
Booth;36008;Alabama;;AL;Autauga;01001
Marbury;36051;Alabama;;AL;Autauga;01001
Prattville;36066;Alabama;;AL;Autauga;01001
Prattville;36067;Alabama;;AL;Autauga;01001
Prattville;36068;Alabama;;AL;Autauga;01001
Jones;36749;Alabama;;AL;Autauga;01001
Bay Minette;36507;Alabama;;AL;Baldwin;01003
Bon Secour;36511;Alabama;;AL;Baldwin;01003
Daphne;36526;Alabama;;AL;Baldwin;01003
Spanish Fort;36527;Alabama;;AL;Baldwin;01003
Elberta;36530;Alabama;;AL;Baldwin;01003
Fairhope;36532;Alabama;;AL;Baldwin;01003
Fairhope;36533;Alabama;;AL;Baldwin;01003
Foley;36535;Alabama;;AL;Baldwin;01003
Foley;36536;Alabama;;AL;Baldwin;01003
Gulf Shores;36542;Alabama;;AL;Baldwin;01003
Gulf Shores;36547;Alabama;;AL;Baldwin;01003
Lillian;36549;Alabama;;AL;Baldwin;01003
Little River;36550;Alabama;;AL;Baldwin;01003
Loxley;36551;Alabama;;AL;Baldwin;01003
Magnolia Springs;36555;Alabama;;AL;Baldwin;01003
Montrose;36559;Alabama;;AL;Baldwin;01003
Orange Beach;36561;Alabama;;AL;Baldwin;01003
Perdido;36562;Alabama;;AL;Baldwin;01003
Point Clear;36564;Alabama;;AL;Baldwin;01003
Robertsdale;36567;Alabama;;AL;Baldwin;01003
Seminole;36574;Alabama;;AL;Baldwin;01003
Silverhill;36576;Alabama;;AL;Baldwin;01003
Spanish Fort;36577;Alabama;;AL;Baldwin;01003
Stapleton;36578;Alabama;;AL;Baldwin;01003
Stockton;36579;Alabama;;AL;Baldwin;01003
Summerdale;36580;Alabama;;AL;Baldwin;01003
Clayton;36016;Alabama;;AL;Barbour;01005
Clio;36017;Alabama;;AL;Barbour;01005
Eufaula;36027;Alabama;;AL;Barbour;01005
Louisville;36048;Alabama;;AL;Barbour;01005
Eufaula;36072;Alabama;;AL;Barbour;01005
Brent;35034;Alabama;;AL;Bibb;01007
Brierfield;35035;Alabama;;AL;Bibb;01007
Centreville;35042;Alabama;;AL;Bibb;01007
Green Pond;35074;Alabama;;AL;Bibb;01007
West Blocton;35184;Alabama;;AL;Bibb;01007
Woodstock;35188;Alabama;;AL;Bibb;01007
Randolph;36792;Alabama;;AL;Bibb;01007
Lawley;36793;Alabama;;AL;Bibb;01007
Allgood;35013;Alabama;;AL;Blount;01009
